投稿日,総合評価,投稿者,利用シーン,最終審査日,口コミID,本文先頭
2025-10-05,4.0,ひめ,ディナー,2025-10-07,20251005A10095,全体的に若い女性が多い。料理は出来立てでおいしい！
2025-10-06,5.0,ひーちゃん,ディナー,2025-10-07,20251006A06361,チヂミが外カリ中ふわで美味しかった 全ての注文した料理がおいしかった 定員さんも丁寧で感じのいい方だった また来店したいお店です
2025-10-27,5.0,みい,ランチ,2025-10-28,20251027A02135,チキンがおいしかったです。
2025-10-30,5.0,芹,ディナー,2025-10-31,20251030A05824,ハニーマスタードチキンが美味しすぎました
