投稿日,総合評価,投稿者,利用シーン,最終審査日,口コミID,本文先頭
2026-01-05,5.0,ウィリー,ディナー,2026-01-13,20260105A05101,店員さん達みんな優しくて説明もすごかったし、おいしい料理ばっかでもうどんどん食べました。お腹いっぱくおむつ帰りもできてすごい嬉しかったです。
2026-01-26,5.0,ツッチー,ディナー,2026-01-28,20260126A12506,サムギョプサルが美味しかった。
2026-01-30,5.0,ゆかちん,ディナー,2026-02-02,20260130A04399,今回で3回目です。 どの料理もボリューミーで食べ応えあり。味はもちろん美味しすぎます。 いつものことですが、スタッフの方がすごく気の利く型でいつもいつも助かってます。 また伺います。ごちそうさまでした
2026-01-31,5.0,ほのかっぱ,ランチ,2026-02-02,20260131A05441,お料理もすごくおいしくて、1番印象的なのは対応してくださったスタッフさんがとても素敵だったことです。私が予約した日にちがずれていたのですがにこやかに対応してくださりました。申し訳ない気持ちでいっぱいだ
