投稿日,総合評価,投稿者,利用シーン,最終審査日,口コミID,本文先頭
2025-09-15,5.0,あつこ,ディナー,2025-09-17,20250915A01660,子どもが好きで、1年に2回ほど行きます。店員さんが非常によく気がつく方が多く、いつも気持ちよく食事ができます。思ったより値がはるので、普段使いは難しいですが、また、折に伺いたいです。
2025-09-28,5.0,アキナナ,ディナー,2025-09-29,20250928A02085,娘がウーバーで注文して食べて感動したというスノーウィングチキンチーズを食べに！カリカリ衣で絶品でした。 他にも色々食べたかったけど量が凄いので次回違うメニューにチャレンジしたい！ トイレの蛇口可愛い
