曜日,当週売上,前週売上,売上差,当週客数,前週客数,客数差,当週1人単価,前週1人単価,1人単価差,客数要因寄与,客単価要因寄与,検算
月,55890.0,15650.0,40240.0,10,4,6,5589.0,3912.5,1676.5,28504.5,11735.5,40240.0
火,149680.0,315370.0,-165690.0,15,39,-24,9978.666666666666,8086.410256410257,1892.2564102564093,-216780.92307692306,51090.92307692305,-165690.0
水,25530.0,46640.0,-21110.0,4,12,-8,6382.5,3886.6666666666665,2495.8333333333335,-41076.666666666664,19966.666666666668,-21109.999999999996
木,116080.0,120560.0,-4480.0,21,25,-4,5527.619047619048,4822.4,705.2190476190481,-20700.038095238095,16220.038095238106,-4479.999999999989
金,112870.0,123860.0,-10990.0,15,33,-18,7524.666666666667,3753.3333333333335,3771.3333333333335,-101502.0,90512.0,-10990.0
土,117260.0,110150.0,7110.0,29,39,-10,4043.448275862069,2824.358974358974,1219.0893015030947,-34339.036251105215,41449.03625110522,7110.000000000007
日,46740.0,42870.0,3870.0,11,15,-4,4249.090909090909,2858.0,1391.090909090909,-14214.181818181818,18084.181818181816,3869.999999999998
