weekday,account_total,customer_count,account_id,客単価
土,24752360.0,4742,2043,5219.814424293547
日,17709250.0,3361,1596,5269.04195180006
月,17223710.0,2985,1232,5770.087102177555
木,17593210.0,3159,1372,5569.23393478949
水,19855260.0,2856,1171,6952.121848739495
火,14517500.0,3134,1203,4632.259093809827
金,27709670.0,4905,2005,5649.270132517839
