business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1625894.0,27,151,60218.2962962963,その他
7,98990.0,2,6,49495.0,その他
19,147400.0,17,13,8670.588235294117,18-20時
20,8174485.0,1052,591,7770.4230038022815,20-22時
21,7610525.0,992,687,7671.900201612903,20-22時
22,3617810.0,266,360,13600.78947368421,22-24時
23,1503768.0,3,141,501256.0,22-24時
24,1802515.0,1,156,1802515.0,24-26時
25,4846155.0,109,340,44460.1376146789,24-26時
26,18617121.0,875,902,21276.709714285713,その他
27,19856937.0,1006,968,19738.505964214713,その他
28,13146812.0,642,804,20477.90031152648,その他
29,6288255.0,188,450,33448.164893617024,その他
