曜日,対象週売上,過去4週平均売上,売上差,対象週客数,過去4週平均客数,客数差,対象週1人単価,過去4週平均1人単価,1人単価差,客数要因寄与,客単価要因寄与,検算
月,73244.0,111911.25,-38667.25,14,25.25,-11.25,5231.714285714285,4481.1097687400315,750.6045169742538,-54634.635306305536,14730.613645619731,-39904.0216606858
火,116022.0,168543.33333333334,-52521.33333333334,25,36.666666666666664,-11.666666666666664,4640.88,4861.399801662022,-220.51980166202156,-55429.96550969512,-6799.360551245664,-62229.32606094078
水,120685.0,179232.5,-58547.5,28,37.75,-9.75,4310.178571428572,4768.734139973501,-458.5555685449299,-44259.69946808511,-15075.01431591457,-59334.71378399969
木,93158.0,183434.25,-90276.25,24,40.25,-16.25,3881.5833333333335,4607.332837701613,-725.7495043682798,-68972.44388965894,-23314.702827830988,-92287.14671748993
金,265188.0,394740.25,-129552.25,54,79.75,-25.75,4910.888888888889,5045.769503235159,-134.8806143462707,-128191.97679859713,-9020.141084406854,-137212.117883004
土,412162.0,336622.75,75539.25,76,78.0,-2.0,5423.184210526316,4260.296105208736,1162.88810531758,-9683.48031573505,89542.38410945366,79858.90379371861
日,122876.0,162475.0,-39599.0,25,38.5,-13.5,4915.04,4328.058219178082,586.9817808219177,-62390.912979452056,18636.671541095886,-43754.24143835617
