指標,低単価(平均),高単価(平均),全体(平均),差分(高-低)
客数,1.2099871959026889,1.3008205965853847,1.2684337997847148,0.09083340068269585
総商品数,1.34659366859464,2.5480885155368878,1.9768231969860064,1.2014948469422477
時間帯,15.140897317026507,16.560383204345403,15.78005228890085,1.4194858873188956
滞在時間,28.833561452308412,29.79056897289309,28.66614994468365,0.9570075205846784
アルコール品数,0.012274272594816548,0.26465212149496364,0.08826695371367062,0.2523778489001471
トッピング品数,0.011170471102476931,0.13919029284797574,0.055391101542877644,0.1280198217454988
