時間帯,低単価(%),高単価(%),差分
ランチ(11-14時),53.36217934566647,32.25994633064986,-21.10223301501661
アイドル(14-17時),15.832928606119475,17.333644460000777,1.5007158538813012
ディナー前半(17-20時),16.9146540686123,29.99649982499125,13.08184575637895
ディナー後半(20時以降),13.89023797960175,20.40990938435811,6.519671404756359
