business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1346940.0,74,147,18201.891891891893,その他
7,231410.0,24,14,9642.083333333334,その他
8,189320.0,8,1,23665.0,その他
18,78600.0,0,2,inf,18-20時
19,414520.0,28,23,14804.285714285714,18-20時
20,13362755.0,3544,1860,3770.5290632054175,20-22時
21,13384155.0,5490,3036,2437.915300546448,20-22時
22,6866470.0,2307,1495,2976.3632423060253,22-24時
23,704440.0,77,99,9148.57142857143,22-24時
24,601500.0,41,80,14670.731707317073,24-26時
25,2992180.0,182,159,16440.54945054945,24-26時
26,20346722.0,1888,948,10776.865466101695,その他
27,15465726.0,1442,962,10725.191400832178,その他
28,9997650.0,962,741,10392.567567567568,その他
29,4882296.0,429,464,11380.643356643357,その他
