menu_name,sales,qty,accts,period
バーニャカウダ,5000.0,5,5,Before月 (3/1-3/31)
パテドカンパーニュ,1000.0,1,1,Before月 (3/1-3/31)
パナメラ シャルドネ,8800.0,1,1,Before月 (3/1-3/31)
パナメラ・カルベネ・ソーヴィニョン,28800.0,18,9,Before月 (3/1-3/31)
パナメラ・シャルドネ,12800.0,8,5,Before月 (3/1-3/31)
パプリカ詰めオリーブ,4000.0,4,4,Before月 (3/1-3/31)
ビーフジャーキー,3000.0,3,3,Before月 (3/1-3/31)
ピュアモルト(赤),1600.0,1,1,Before月 (3/1-3/31)
フィーバーツリーソーダ,7200.0,9,6,Before月 (3/1-3/31)
フレンチフライ,17000.0,17,10,Before月 (3/1-3/31)
フード,1800.0,1,1,Before月 (3/1-3/31)
ブッシュミルズ12年,1200.0,1,1,Before月 (3/1-3/31)
ブラッドノックアリンタ,1800.0,1,1,Before月 (3/1-3/31)
ブルスケッタ,6000.0,6,6,Before月 (3/1-3/31)
プレミアムハウスハイボール,18000.0,9,5,Before月 (3/1-3/31)
ヘンリーマッケナ,2400.0,2,1,Before月 (3/1-3/31)
ヘーゼルナッツラテ,1300.0,1,1,Before月 (3/1-3/31)
ボウモア12年,20800.0,13,7,Before月 (3/1-3/31)
ボトルワイン,39500.0,5,4,Before月 (3/1-3/31)
ボロネーゼ,20800.0,13,8,Before月 (3/1-3/31)
マッカランシェリーカスク12年,3000.0,1,1,Before月 (3/1-3/31)
マッカランダブルカスク12年,2500.0,1,1,Before月 (3/1-3/31)
マルゲリータ,28800.0,16,11,Before月 (3/1-3/31)
メーカーズマーク,2350.0,2,2,Before月 (3/1-3/31)
ラガヴーリン 16年,2500.0,1,1,Before月 (3/1-3/31)
ラザニア,28800.0,18,11,Before月 (3/1-3/31)
ラフロイグ10年,5100.0,3,3,Before月 (3/1-3/31)
ロイヤルブラックラ 12年,1800.0,1,1,Before月 (3/1-3/31)
ロッホリー,1800.0,1,1,Before月 (3/1-3/31)
ローター・トラウベンモスト,3600.0,3,3,Before月 (3/1-3/31)
ロードオブバーベス,1700.0,1,1,Before月 (3/1-3/31)
ワイルドターキー8年,4800.0,4,1,Before月 (3/1-3/31)
丸氷,6300.0,63,22,Before月 (3/1-3/31)
余市,32400.0,18,9,Before月 (3/1-3/31)
作,10200.0,6,1,Before月 (3/1-3/31)
前菜の盛り合わせ,19800.0,11,8,Before月 (3/1-3/31)
唐揚げ,15900.0,12,8,Before月 (3/1-3/31)
嘉之助,2000.0,1,1,Before月 (3/1-3/31)
季の美,7300.0,5,3,Before月 (3/1-3/31)
宮城峡,3200.0,2,2,Before月 (3/1-3/31)
山崎,5000.0,2,2,Before月 (3/1-3/31)
山葵と梨のスマッシュ,55200.0,24,21,Before月 (3/1-3/31)
招待日和コース(食事のみ)+チャージ別＋サ別,120000.0,12,6,Before月 (3/1-3/31)
本わさびジンソニック,32400.0,18,16,Before月 (3/1-3/31)
本日のデザート,21300.0,18,11,Before月 (3/1-3/31)
本日のパスタ,7400.0,4,1,Before月 (3/1-3/31)
柿の種,900.0,3,3,Before月 (3/1-3/31)
梅酒,8400.0,7,4,Before月 (3/1-3/31)
氷、ボトル割りもの（割引対象外）,3000.0,2,2,Before月 (3/1-3/31)
焙じ茶ジンソーダ,22400.0,16,13,Before月 (3/1-3/31)
牡蠣のレモンマリネ,3000.0,3,3,Before月 (3/1-3/31)
生チョコレート,18000.0,18,17,Before月 (3/1-3/31)
生ハム盛り,8000.0,5,5,Before月 (3/1-3/31)
白州,12600.0,7,5,Before月 (3/1-3/31)
白州 12年,6600.0,2,2,Before月 (3/1-3/31)
知多,10200.0,6,3,Before月 (3/1-3/31)
禁断パスタ,28800.0,16,15,Before月 (3/1-3/31)
竹鶴,5100.0,3,3,Before月 (3/1-3/31)
紅茶,4000.0,4,2,Before月 (3/1-3/31)
鴨のスモーク,4800.0,6,6,Before月 (3/1-3/31)
鶏もものソテー,22600.0,13,8,Before月 (3/1-3/31)
鶴,3500.0,1,1,Before月 (3/1-3/31)
黒板メニュー　サラダ,5400.0,3,1,Before月 (3/1-3/31)
黒板メニュー　パスタ,7200.0,4,3,Before月 (3/1-3/31)
黒板メニュー　肉料理,11400.0,5,4,Before月 (3/1-3/31)
6500円飲み放題付（2時間制）,78000.0,12,4,YoY (2025/4/1-4/18)
BFAグレングラッサ8年,5600.0,2,1,YoY (2025/4/1-4/18)
MIXローストナッツ,9600.0,14,13,YoY (2025/4/1-4/18)
No charge,0.0,33,21,YoY (2025/4/1-4/18)
tablecharge,206500.0,417,158,YoY (2025/4/1-4/18)
その他CLPコース,11000.0,2,1,YoY (2025/4/1-4/18)
ふわもこコーヒーマティーニ,48000.0,30,22,YoY (2025/4/1-4/18)
イチローズモルト,9800.0,7,5,YoY (2025/4/1-4/18)
イベントドリンク,18000.0,6,1,YoY (2025/4/1-4/18)
イベント費用,358920.0,54,2,YoY (2025/4/1-4/18)
ウイスキー,78700.0,46,22,YoY (2025/4/1-4/18)
エンジン,1600.0,1,1,YoY (2025/4/1-4/18)
オクトモア14.1,2800.0,1,1,YoY (2025/4/1-4/18)
オクトモア14.2,3000.0,1,1,YoY (2025/4/1-4/18)
カニクリームコロッケ,7200.0,6,6,YoY (2025/4/1-4/18)
カリラ12年,8000.0,5,5,YoY (2025/4/1-4/18)
カルパッチョ,9000.0,6,6,YoY (2025/4/1-4/18)
ガージェリー,41600.0,32,16,YoY (2025/4/1-4/18)
クラシックカクテル,71700.0,44,22,YoY (2025/4/1-4/18)
クラセアスール,9000.0,2,1,YoY (2025/4/1-4/18)
グレンリベット12年,9800.0,7,4,YoY (2025/4/1-4/18)
ジュラ10年,8000.0,2,1,YoY (2025/4/1-4/18)
ジョニーウォーカー,2000.0,4,4,YoY (2025/4/1-4/18)
スパークリング,8400.0,7,3,YoY (2025/4/1-4/18)
ソフトドリンク,12700.0,17,12,YoY (2025/4/1-4/18)
タパス,20800.0,28,24,YoY (2025/4/1-4/18)
タリスカー10年,2800.0,2,2,YoY (2025/4/1-4/18)
チリピスコソーダ,18200.0,14,12,YoY (2025/4/1-4/18)
チーズ盛り合わせ,24000.0,12,12,YoY (2025/4/1-4/18)
デバルド・ビアンコ,27400.0,14,12,YoY (2025/4/1-4/18)
デバルド・ロッソ,14900.0,8,5,YoY (2025/4/1-4/18)
ドリンク,10500.0,7,4,YoY (2025/4/1-4/18)
ニッカ　セッション,3900.0,3,3,YoY (2025/4/1-4/18)
ノンアルコールカクテル,18500.0,15,11,YoY (2025/4/1-4/18)
ハウスハイボール,48100.0,37,15,YoY (2025/4/1-4/18)
ハートランド,69000.0,69,35,YoY (2025/4/1-4/18)
ハーパー,5000.0,5,2,YoY (2025/4/1-4/18)
バロン・ド・ロスチャイルド・ブリュット,80000.0,4,1,YoY (2025/4/1-4/18)
バースデープレート,1500.0,1,1,YoY (2025/4/1-4/18)
パナメラ・カルベネ・ソーヴィニョン,23200.0,10,6,YoY (2025/4/1-4/18)
パナメラ・シャルドネ,17600.0,11,6,YoY (2025/4/1-4/18)
パプリカ詰めオリーブ,6400.0,8,7,YoY (2025/4/1-4/18)
ビーフジャーキー,1600.0,2,2,YoY (2025/4/1-4/18)
ピザ,5400.0,3,3,YoY (2025/4/1-4/18)
ピスコのネグローニ,46500.0,31,26,YoY (2025/4/1-4/18)
フォレスト・ファッションド,82800.0,46,31,YoY (2025/4/1-4/18)
フレッシュトマトのカプレーゼ,9800.0,7,7,YoY (2025/4/1-4/18)
フレンチフライ,4500.0,5,5,YoY (2025/4/1-4/18)
フロールデカーニャ18年,3600.0,2,2,YoY (2025/4/1-4/18)
フード,500.0,2,2,YoY (2025/4/1-4/18)
ブランデー,4500.0,1,1,YoY (2025/4/1-4/18)
プレミアムハウスハイボール,6000.0,5,4,YoY (2025/4/1-4/18)
ボウモア12年,1600.0,1,1,YoY (2025/4/1-4/18)
ボトルワイン,47800.0,7,2,YoY (2025/4/1-4/18)
ボロネーゼ,1600.0,1,1,YoY (2025/4/1-4/18)
ポテサラ,2000.0,2,2,YoY (2025/4/1-4/18)
マッカラン12年,27000.0,11,6,YoY (2025/4/1-4/18)
