period,n,平均,中央値,P10,P25,P75,P90
After (4/1-4/23),100,4738,4284,2300,2932,5981,7805
Before同窓 (3/1-3/23),134,5983,4767,2272,3410,6955,10934
Before月 (3/1-3/31),182,5788,4675,2354,3231,6724,10054
YoY (2025/4/1-4/23),222,4644,3864,2090,2437,5968,8437
