#,menu_name,category,sales,qty,accts,構成比,累積構成比,ランク
82,ハーバルウォッカトニック,オリジナルカクテル,5400.0,3,3,0.19,93.32,C
83,"サングリア白　1,800円",ワイン（グラス）,5400.0,3,3,0.19,93.51,C
84,黒板メニュー　サラダ,黒板メニュー,5400.0,3,1,0.19,93.7,C
85,竹鶴,ジャパニーズウイスキー,5100.0,3,3,0.18,93.88,C
86,ラフロイグ10年,ウイスキー,5100.0,3,3,0.18,94.06,C
87,バーニャカウダ,スナック,5000.0,5,5,0.18,94.24,C
88,山崎,ジャパニーズウイスキー,5000.0,2,2,0.18,94.42,C
89,アベラワー 12年,ウイスキー,4800.0,3,3,0.17,94.59,C
90,ガーリックブロッコリー,スナック,4800.0,6,6,0.17,94.76,C
91,ワイルドターキー8年,ウイスキー,4800.0,4,1,0.17,94.93,C
92,アラン アマローネカスク,ウイスキー,4800.0,3,2,0.17,95.1,C
93,鴨のスモーク,スナック,4800.0,6,6,0.17,95.27,C
94,バースデープレート,デザート,4650.0,3,3,0.17,95.44,C
95,ドンフリオ　ブランコ,テキーラ,4500.0,3,1,0.16,95.6,C
96,オレンジジュース,ソフトドリンク,4000.0,5,4,0.14,95.74,C
97,BFAジェームズベイ,ウイスキー（ハイボール・ボトル・オリジナル）,4000.0,2,2,0.14,95.88,C
98,紅茶,ソフトドリンク,4000.0,4,2,0.14,96.02,C
99,パプリカ詰めオリーブ,スナック,4000.0,4,4,0.14,96.16,C
100,ニッカ シングルカフェグレーン ウッディ＆メロウ,ジャパニーズウイスキー,3800.0,2,2,0.14,96.3,C
101,ローター・トラウベンモスト,ワイン（グラス）,3600.0,3,3,0.13,96.43,C
102,スプリングバンク 10年,ウイスキー,3600.0,2,2,0.13,96.56,C
103,鶴,ジャパニーズウイスキー,3500.0,1,1,0.12,96.68,C
104,バランタイン 17年,ウイスキー,3400.0,2,1,0.12,96.8,C
105,宮城峡,ジャパニーズウイスキー,3200.0,2,2,0.11,96.91,C
106,ジンジャーエール,ソフトドリンク,3200.0,4,4,0.11,97.02,C
107,ビーフジャーキー,スナック,3000.0,3,3,0.11,97.13,C
108,牡蠣のレモンマリネ,スナック,3000.0,3,3,0.11,97.24,C
109,氷、ボトル割りもの（割引対象外）,その他,3000.0,2,2,0.11,97.35,C
110,マッカランシェリーカスク12年,ウイスキー,3000.0,1,1,0.11,97.46,C
111,オクトモア14.1,ウイスキー,2800.0,1,1,0.1,97.56,C
112,BFAグレングラッサ8年,ウイスキー（ハイボール・ボトル・オリジナル）,2800.0,1,1,0.1,97.66,C
113,グレンリベット18年,ウイスキー,2600.0,1,1,0.09,97.75,C
114,マッカランダブルカスク12年,ウイスキー,2500.0,1,1,0.09,97.84,C
115,ラガヴーリン 16年,ウイスキー,2500.0,1,1,0.09,97.93,C
116,ヘンリーマッケナ,ウイスキー,2400.0,2,1,0.09,98.02,C
117,タンカレー,ジン,2400.0,2,2,0.09,98.11,C
118,ジョニーウォーカー ブラックラベル,ウイスキー,2400.0,2,1,0.09,98.2,C
119,コーラ,ソフトドリンク,2400.0,3,2,0.09,98.29,C
120,グレープフルーツジュース,ソフトドリンク,2400.0,3,3,0.09,98.38,C
121,いぶりがっこ,スナック,2400.0,8,7,0.09,98.47,C
122,メーカーズマーク,ウイスキー,2350.0,2,2,0.08,98.55,C
123,グレンモーレンジィ フォレスト,ウイスキー,2000.0,1,1,0.07,98.62,C
124,【AL】ピニャコラーダ,ノンアルコールカクテル,2000.0,1,1,0.07,98.69,C
125,嘉之助,ジャパニーズウイスキー,2000.0,1,1,0.07,98.76,C
126,ニッカ シングルブランデー 弘前,ジャパニーズウイスキー,1900.0,1,1,0.07,98.83,C
127,グレンリベット15年,ウイスキー,1800.0,1,1,0.06,98.89,C
128,ブラッドノックアリンタ,ウイスキー,1800.0,1,1,0.06,98.95,C
129,フード,その他,1800.0,1,1,0.06,99.01,C
130,ロイヤルブラックラ 12年,ウイスキー,1800.0,1,1,0.06,99.07,C
