iso,days,sales,custs,accts,日次売上,日次客数,日次組数,客単価
2026-W10,7,415200.0,68,30,59314,9.7,4.3,6106
2026-W11,7,574930.0,93,43,82133,13.3,6.1,6182
2026-W12,7,1036550.0,205,52,148079,29.3,7.4,5056
2026-W13,7,604790.0,103,45,86399,14.7,6.4,5872
2026-W14,7,642020.0,111,35,91717,15.9,5.0,5784
2026-W15,6,409010.0,101,33,68168,16.8,5.5,4050
2026-W16,6,711180.0,117,31,118530,19.5,5.2,6078
2026-W17,3,145170.0,35,15,48390,11.7,5.0,4148
