比較,日次売上_After,日次売上_Before同窓 (3/1-3/23),日次売上_差%,日次客数_差%,日次組数_差%,客単価_差%,組単価_差%,平均GS_差%,日次売上_Before月 (3/1-3/31),日次売上_YoY (2025/4/1-4/23)
After vs Before同窓 (3/1-3/23),85484.5,94823.04347826086,-9.848390365577986,-4.411764705882348,-14.16666666666666,-5.6875468439892884,5.031001515831468,11.364934323243858,,
After vs Before月 (3/1-3/31),85484.5,,-9.310508268083007,-3.3109404990402935,-15.079787234042552,-6.205012025153856,6.793764144067604,13.858710843597999,94260.64516129032,
After vs YoY (2025/4/1-4/23),85484.5,,-30.386722041651616,-36.32879045996592,-47.120535714285715,9.33242585030234,31.645202724103317,20.40819701956633,,122799.13043478261
