期間,営業日数,売上合計,客数合計,組数合計,日次売上,日次客数,日次組数,客単価,組単価,平均グループサイズ
After (4/1-4/23),20,1709690.0,325,103,85484.5,16.25,5.15,5260.584615384615,16598.93203883495,3.1553398058252426
Before同窓 (3/1-3/23),23,2180930.0,391,138,94823.04347826086,17.0,6.0,5577.826086956522,15803.840579710144,2.8333333333333335
Before月 (3/1-3/31),31,2922080.0,521,188,94260.64516129032,16.806451612903224,6.064516129032258,5608.598848368522,15542.978723404256,2.771276595744681
YoY (2025/4/1-4/23),23,2824380.0,587,224,122799.13043478261,25.52173913043478,9.73913043478261,4811.5502555366265,12608.839285714286,2.6205357142857144
