business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1690344.0,27,154,62605.333333333336,その他
7,98990.0,2,6,49495.0,その他
19,147400.0,17,13,8670.588235294117,18-20時
20,8324355.0,1070,603,7779.771028037383,20-22時
21,7926905.0,1005,699,7887.467661691542,20-22時
22,3653610.0,268,365,13632.873134328358,22-24時
23,1550828.0,3,143,516942.6666666667,22-24時
24,1843715.0,1,159,1843715.0,24-26時
25,4861255.0,109,342,44598.66972477064,24-26時
26,18846221.0,888,918,21223.221846846845,その他
27,20165687.0,1022,982,19731.591976516633,その他
28,13327127.0,652,813,20440.37883435583,その他
29,6320910.0,190,453,33267.94736842105,その他
