year_week,category1,subtotal,quantity,構成比
2026-W02,しゃぶしゃぶ,89100.0,23,41.905747342677074
2026-W02,ビール・ノンアルコール,27780.0,32,13.065562976201676
2026-W02,前菜・一品,21840.0,18,10.271846486689869
2026-W02,ウィスキー・ジン・リキュール,12060.0,16,5.672091054463362
2026-W02,温菜・揚げ物,10680.0,10,5.023045809425266
2026-W02,ソフトドリンク,9400.0,17,4.4210328285203655
2026-W02,飯物・〆,8280.0,9,3.894271470228577
2026-W02,サワー,7380.0,9,3.4709810930298186
2026-W02,果実酒,6690.0,7,3.1464584705107703
2026-W02,ワイン,6000.0,4,2.8219358479917225
2026-W02,焼酎,5700.0,7,2.6808390555921364
2026-W02,プレミア限定酒（日本酒）,5550.0,3,2.610290659392343
2026-W02,お茶割り,1480.0,2,0.6960775091712915
2026-W02,日本酒,680.0,1,0.3198193961057285
2026-W02,別天地コース,0.0,453,0.0
2026-W02,松・飲み放題（コース内）,0.0,141,0.0
2026-W02,サービス,0.0,5,0.0
2026-W02,しゃぶしゃぶセット,0.0,8,0.0
