取引No,来店日,来店時間,会計日,会計時間,合計,合計（10%標準）,合計（8%軽減）,合計（8%標準）,合計（非課税）,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,金券内訳,楽天Pay,出前館売掛,Uber売掛,Go to売掛,その他売掛,まとめ買い割引(税込),まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
000320250902190633964,2025/09/02,19:06:39,2025/09/02,19:06:39,2760,0,2760,0,0,2760,204,0,2760,204,0,0,0,0,0,0,0,0,0,0,0,2760,0,0,0,0,0,1,1,00:00:00,"伝票00036145",0003,"サジャニン","未設定",777B2AB6531D46F9ACA364430EF9884B,"未設定","カスタム商品(食品)","","",2760,1,0,0,-,0,0,0,0,2760,0,0,0,"",0,0,0,0
000320250902193306040,2025/09/02,20:01:28,2025/09/02,20:01:28,5760,0,5760,0,0,5334,426,0,5760,426,0,0,0,0,0,5760,0,0,0,0,0,0,0,0,0,0,0,1,3,00:00:00,"伝票00036147",0003,"サジャニン","未設定",7EDCD92CFD6841B598C9F7580432443D,"テイクアウト","チヂミ  T.O","海鮮","",1200,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
000320250902193306040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7EDCD92CFD6841B598C9F7580432443D,"テイクアウト","キンパ T.O","","",834,1,0,0,-,0,,,,,,,,"",0,0,0,0
000320250902193306040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7EDCD92CFD6841B598C9F7580432443D,"テイクアウト","NENEハーフ&ハーフ骨なし T.O","通常","",3300,1,0,0,-,0,,,,,,,,"",0,0,0,0
000320250902193252540,2025/09/02,20:28:38,2025/09/02,20:28:38,3564,0,3564,0,0,3300,264,0,3564,264,0,3564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00036146",0003,"サジャニン","未設定",1A3A778FD7154C96BCA0D566CCC23380,"テイクアウト","NENEハーフ&ハーフ骨なし T.O","通常","",3300,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250902192752823,2025/09/02,19:27:48,2025/09/02,20:36:57,12540,12540,0,0,0,11400,1140,0,12540,1140,0,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,01:09:09,"A3, A4",0003,"サジャニン","未設定",8E281E2D7D9440D39B745658EAC08F35,"ごはん、麺類、チジミ","かいせんチヂミ（海鮮）","","",1200,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250902192752823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E281E2D7D9440D39B745658EAC08F35,"デザート、スナック","トルネードポテト","","",500,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250902192752823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E281E2D7D9440D39B745658EAC08F35,"お通し（席料）","席料（お通し）","","",300,6,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250902192752823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E281E2D7D9440D39B745658EAC08F35,"ネネチキン","ハーフ&ハーフチキン","","",3300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250902192752823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E281E2D7D9440D39B745658EAC08F35,"フレーバー選択","スノーウイング（チーズ）","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250902192752823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E281E2D7D9440D39B745658EAC08F35,"フレーバー選択","フライド","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250902192752823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E281E2D7D9440D39B745658EAC08F35,"トルネードフレーバー選択","塩","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250902192752823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E281E2D7D9440D39B745658EAC08F35,"鍋 ジョンゴル","チュコプセ（イイダコ、ホルモン、エビ）","","",3980,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250902192752823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E281E2D7D9440D39B745658EAC08F35,"ごはん、麺類、チジミ","〆のポックンパ大(単品不可)","","",620,1,0,0,-,0,,,,,,,,"",0,0,0,0
000320250902204926223,2025/09/02,20:49:35,2025/09/02,20:49:35,5000,0,5000,0,0,5000,370,0,5000,370,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,1,1,00:00:00,"伝票00036150",0003,"サジャニン","未設定",F22E1106737D424FBA326815FA541D5C,"未設定","カスタム商品(食品)","","",5000,1,0,0,-,0,0,0,0,5000,0,0,0,"",0,0,0,0
000320250902204939572,2025/09/02,20:49:44,2025/09/02,20:49:44,2260,0,2260,0,0,2260,167,0,2260,167,0,0,0,0,0,0,0,0,0,0,0,2260,0,0,0,0,0,1,1,00:00:00,"伝票00036151",0003,"サジャニン","未設定",2E96DC6CDBB64E069D1AFF9430B06C7A,"未設定","カスタム商品(食品)","","",2260,1,0,0,-,0,0,0,0,2260,0,0,0,"",0,0,0,0
000320250902204948222,2025/09/02,20:49:56,2025/09/02,20:49:56,1490,0,1490,0,0,1490,110,0,1490,110,0,0,0,0,0,0,0,0,0,0,0,1490,0,0,0,0,0,1,1,00:00:00,"伝票00036152",0003,"サジャニン","未設定",773A39CD7A1C4AC0A6481C579343BB6E,"未設定","カスタム商品(食品)","","",1490,1,0,0,-,0,0,0,0,1490,0,0,0,"",0,0,0,0
000320250902205000916,2025/09/02,20:50:04,2025/09/02,20:50:04,2000,0,2000,0,0,2000,148,0,2000,148,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,1,1,00:00:00,"伝票00036153",0003,"サジャニン","未設定",E19615DE743B41BA8E8F344820996CB4,"未設定","カスタム商品(食品)","","",2000,1,0,0,-,0,0,0,0,2000,0,0,0,"",0,0,0,0
000320250902205009149,2025/09/02,20:50:15,2025/09/02,20:50:15,5422,0,5422,0,0,5422,401,0,5422,401,0,0,0,0,0,0,0,0,0,0,0,5422,0,0,0,0,0,1,1,00:00:00,"伝票00036154",0003,"サジャニン","未設定",801E5742EF9A41ADBB8379127884553F,"未設定","カスタム商品(食品)","","",5422,1,0,0,-,0,0,0,0,5422,0,0,0,"",0,0,0,0
000320250903114905615,2025/09/03,11:49:59,2025/09/03,11:49:59,3564,0,3564,0,0,3300,264,0,3564,264,3564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00036155",0003,"サジャニン","未設定",5C38659A3EEE4445AD79D66FBE9BBC30,"テイクアウト","NENEハーフ&ハーフ骨なし T.O","通常","",3300,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
000320250903115543620,2025/09/03,11:56:14,2025/09/03,11:56:14,1080,0,1080,0,0,1000,80,0,1080,80,1100,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,1,00:00:00,"伝票00036156",0003,"サジャニン","未設定",6867995499CF44908E7047AC55015A49,"テイクアウト","トッポッキ T.O","チーズトッポキ","",1000,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903122824671,2025/09/03,12:27:55,2025/09/03,12:34:43,1320,1320,0,0,0,1200,120,0,1320,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,00:06:48,"A4",0003,"サジャニン","未設定",80B4787A594A4A8784B66C8B950BF2E9,"ランチ","野菜たっぷりビビンパ定食","","",1200,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903123525336,2025/09/03,11:59:00,2025/09/03,12:35:50,3498,3498,0,0,0,3180,318,0,3498,318,0,3498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,00:36:49,"B3",0003,"サジャニン","未設定",B933FDE6B20B4B18B7C4A59CDF9AC9DD,"マッコリ、マッコリカクテル","マッコリグラス","グラスマッコリ","",500,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903123525336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B933FDE6B20B4B18B7C4A59CDF9AC9DD,"ランチ","盛岡冷麺定食","","",1100,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903123525336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B933FDE6B20B4B18B7C4A59CDF9AC9DD,"ビール、韓国ビール","アサヒスーパードライ中瓶","瓶ビール","",680,1,0,0,-,0,,,,,,,,"",0,0,0,0
