取引No,来店日,来店時間,会計日,会計時間,合計,合計（10%標準）,合計（8%軽減）,合計（8%標準）,合計（非課税）,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,金券内訳,楽天Pay,出前館売掛,Uber売掛,Go to売掛,その他売掛,まとめ買い割引(税込),まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
000320250903192655283,2025/09/03,20:47:22,2025/09/03,20:47:22,6264,0,6264,0,0,5800,464,0,6264,464,10300,0,0,0,0,0,0,0,0,0,0,0,4036,0,0,0,0,1,4,00:00:00,"伝票00036171",0003,"サジャニン","未設定",7543BB4248934CE7B1F9DD1FA9BDD170,"テイクアウト","トッポッキ T.O","チーズトッポキ","",1000,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
000320250903192655283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7543BB4248934CE7B1F9DD1FA9BDD170,"テイクアウト","チーズボール T.O","","",750,2,0,0,-,0,,,,,,,,"",0,0,0,0
000320250903192655283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7543BB4248934CE7B1F9DD1FA9BDD170,"テイクアウト","NENEハーフ&ハーフ骨なし T.O","通常","",3300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,2025/09/03,18:11:53,2025/09/03,20:50:03,10263,10263,0,0,0,9330,933,0,10263,933,0,0,0,10263,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,02:38:10,"A5",0003,"サジャニン","未設定",D3CB7459E010444C9781361F33F3A9D9,"ソフトドリンク","ジンジャーエール","","",350,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"カクテル各種","カシスグレープフルーツ","","",550,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"ビール、韓国ビール","韓国ビール CASS カス 500ml","","",1200,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"ビール、韓国ビール","オールフリー(ノンアル)","","",550,2,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"ウイスキー、ハイボール","ジンビームハイボール","ジンビームハイボール","",500,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"ウイスキー、ハイボール","ジンビームハイボール","生レモンハーフカット","",150,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"ネネチキン","ヤンニョムチキン","ハーフ","",2000,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"ソフトドリンク","レモネード","","",350,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"サラダ","豆腐キムチ","","",600,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"お通し（席料）","席料（お通し）","","",300,3,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"揚げ物、フライ","サツマイモフライド","","",650,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903181155526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3CB7459E010444C9781361F33F3A9D9,"ごはん、麺類、チジミ","やさいチヂミ(野菜)","","",980,1,0,0,-,0,,,,,,,,"",0,0,0,0
000320250903205026561,2025/09/03,20:50:32,2025/09/03,20:50:32,1930,0,1930,0,0,1930,142,0,1930,142,0,0,0,0,0,0,0,0,0,0,0,1930,0,0,0,0,0,1,1,00:00:00,"伝票00036176",0003,"サジャニン","未設定",F0705FE8C0AE495F9F6FAE21220AB609,"未設定","カスタム商品(食品)","","",1930,1,0,0,-,0,0,0,0,1930,0,0,0,"",0,0,0,0
000320250903205036686,2025/09/03,20:50:42,2025/09/03,20:50:42,2460,0,2460,0,0,2460,182,0,2460,182,0,0,0,0,0,0,0,0,0,0,0,2460,0,0,0,0,0,1,1,00:00:00,"伝票00036177",0003,"サジャニン","未設定",FA0268221A0F4383A95FC3BB353114BA,"未設定","カスタム商品(食品)","","",2460,1,0,0,-,0,0,0,0,2460,0,0,0,"",0,0,0,0
000320250903205046790,2025/09/03,20:50:51,2025/09/03,20:50:51,1450,0,1450,0,0,1450,107,0,1450,107,0,0,0,0,0,0,0,0,0,0,0,1450,0,0,0,0,0,1,1,00:00:00,"伝票00036178",0003,"サジャニン","未設定",C5FA2F7B3E1F4F4DB9DC7173C88AE33B,"未設定","カスタム商品(食品)","","",1450,1,0,0,-,0,0,0,0,1450,0,0,0,"",0,0,0,0
000320250903205056011,2025/09/03,20:51:04,2025/09/03,20:51:04,5580,0,5580,0,0,5580,413,0,5580,413,0,0,0,0,0,0,0,0,0,0,0,5580,0,0,0,0,0,1,1,00:00:00,"伝票00036179",0003,"サジャニン","未設定",9FDA14033C7F4C95BE3D2419C1DA05F7,"未設定","カスタム商品(食品)","","",5580,1,0,0,-,0,0,0,0,5580,0,0,0,"",0,0,0,0
000320250903205108654,2025/09/03,20:51:16,2025/09/03,20:51:16,2450,0,2450,0,0,2450,181,0,2450,181,0,0,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,1,1,00:00:00,"伝票00036180",0003,"サジャニン","未設定",B294E94D9AB940528F889AD1A07D6C31,"未設定","カスタム商品(食品)","","",2450,1,0,0,-,0,0,0,2450,0,0,0,0,"",0,0,0,0
HD0020250903201110584,2025/09/03,20:11:04,2025/09/03,21:08:48,9174,9174,0,0,0,8340,834,0,9174,834,0,0,0,0,0,9174,0,0,0,0,0,0,0,0,0,0,0,2,11,00:57:44,"B4",0003,"サジャニン","未設定",A21C9AB61E154E4A855930F34EA8F818,"プレート料理","ネネUFOフォンデュ(2人前)10本","","",3100,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903201110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A21C9AB61E154E4A855930F34EA8F818,"プレート料理","UFO追加チキン","UFO追加チキン（４本）","",760,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A21C9AB61E154E4A855930F34EA8F818,"ごはん、麺類、チジミ","キンパ","","",850,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A21C9AB61E154E4A855930F34EA8F818,"お通し（席料）","席料（お通し）","","",300,2,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A21C9AB61E154E4A855930F34EA8F818,"トッピング","フライドチキン","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A21C9AB61E154E4A855930F34EA8F818,"トッピング","ヤンニョムチキン","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A21C9AB61E154E4A855930F34EA8F818,"ソフトドリンク","ソフトドリンク飲み放題（80分）韓国ジュース不可","","",500,2,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A21C9AB61E154E4A855930F34EA8F818,"揚げ物、フライ","ポテトモッツァレラチーズハットグ","","",550,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A21C9AB61E154E4A855930F34EA8F818,"アラカルト、一品","チュクミポックン(イイダコ甘辛炒め)","","",1480,1,0,0,-,0,,,,,,,,"",0,0,0,0
000320250903211452481,2025/09/03,21:14:58,2025/09/03,21:14:58,3240,0,3240,0,0,3240,240,0,3240,240,0,0,0,0,0,0,0,0,0,0,0,3240,0,0,0,0,0,1,1,00:00:00,"伝票00036181",0003,"サジャニン","未設定",709FBFAEE4EA482DAB30F1F0DEB77853,"未設定","カスタム商品(食品)","","",3240,1,0,0,-,0,0,0,0,3240,0,0,0,"",0,0,0,0
HD0020250903201021125,2025/09/03,20:10:19,2025/09/03,21:16:20,5390,5390,0,0,0,4900,490,0,5390,490,0,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,01:06:00,"A1",0003,"サジャニン","未設定",2D7D1DFB5A6C4B36AB175BBDAC614678,"プレート料理","ネネUFOフォンデュ(2人前)10本","","",3100,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903201021125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D7D1DFB5A6C4B36AB175BBDAC614678,"ごはん、麺類、チジミ","チーズキンパ","","",1200,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201021125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D7D1DFB5A6C4B36AB175BBDAC614678,"お通し（席料）","席料（お通し）","","",300,2,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201021125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D7D1DFB5A6C4B36AB175BBDAC614678,"トッピング","スノーウイング（チーズ）","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903201021125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D7D1DFB5A6C4B36AB175BBDAC614678,"トッピング","ハニーマスタードチキン","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,2025/09/03,18:38:38,2025/09/03,21:26:56,23771,23771,0,0,0,21610,2161,0,23771,2161,25000,0,0,0,0,0,0,0,0,0,0,0,1229,0,0,0,0,4,34,02:48:18,"D個室1",0003,"サジャニン","未設定",EE4700AA67B84C6698BAB196EA10B551,"ソフトドリンク","ジンジャーエール","","",350,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"ソフトドリンク","カルピスソーダ","","",350,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"ソフトドリンク","ウーロン茶","ホット","",400,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"ソフトドリンク","とうもろこし茶","ホット","",400,3,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"ソフトドリンク","オレンジジュース","","",350,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"アラカルト、一品","ナムル盛り合わせ","","",750,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"サラダ","チョレギサラダ","","",700,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"プレート料理","サムギョプサル(2人前)300g","","",3300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"プレート料理","追加サムギョプサル肉150g","","",1100,2,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"ごはん、麺類、チジミ","白ごはん","大盛り","",380,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"スープ、純豆腐など","スンドゥブ","スンドゥブ","",900,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"チューハイ各種","こだわり酒場のレモンサワー","","",550,4,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"焼酎、韓国焼酎、チャミスル","焼酎 麦","水割り","",500,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"焼酎、韓国焼酎、チャミスル","チャミスルボトル","チャミスル マスカット","",980,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"ネネチキン","しんちゃんエコバッグ","","",100,4,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"お通し（席料）","席料（お通し）","","",300,4,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"ネネチキン","ハーフ&ハーフチキン","","",3300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"ビール、韓国ビール","サントリー生ビール　　中ジョッキ","","",650,2,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"焼酎、韓国焼酎、チャミスル","チャミスルトクトク マスカット","","",850,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"フレーバー選択","フライド","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903183840865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE4700AA67B84C6698BAB196EA10B551,"フレーバー選択","スパイシースノーウイング（甘辛チーズ）","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903191815059,2025/09/03,19:18:11,2025/09/03,21:33:20,7040,7040,0,0,0,6400,640,0,7040,640,7100,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,3,9,02:15:09,"A3",0003,"サジャニン","未設定",C842F1DFD8464467A4CD6631A606C9C9,"ソフトドリンク","ジンジャーエール","","",350,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903191815059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C842F1DFD8464467A4CD6631A606C9C9,"ごはん、麺類、チジミ","辛ラーメン(海鮮卵入り)","","",600,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903191815059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C842F1DFD8464467A4CD6631A606C9C9,"ごはん、麺類、チジミ","盛岡冷麺","","",950,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903191815059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C842F1DFD8464467A4CD6631A606C9C9,"ネネチキン","フライドチキン","ハーフ","",1900,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903191815059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C842F1DFD8464467A4CD6631A606C9C9,"お通し（席料）","席料（お通し）","","",300,3,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903191815059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C842F1DFD8464467A4CD6631A606C9C9,"焼酎、韓国焼酎、チャミスル","チャミスルトクトク マスカット","","",850,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903191815059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C842F1DFD8464467A4CD6631A606C9C9,"焼酎、韓国焼酎、チャミスル","チャミスルトクトク すもも","","",850,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903202102451,2025/09/03,20:21:01,2025/09/03,21:55:46,2453,2453,0,0,0,2230,223,0,2453,223,0,0,0,0,0,2453,0,0,0,0,0,0,0,0,0,0,0,1,3,01:34:45,"B2",0003,"サジャニン","未設定",4DBE726D7B3B42248578FA3D9D5E7906,"アラカルト、一品","センマイ刺し","","",980,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903202102451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4DBE726D7B3B42248578FA3D9D5E7906,"ごはん、麺類、チジミ","チョル麺","","",950,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903202102451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4DBE726D7B3B42248578FA3D9D5E7906,"お通し（席料）","席料（お通し）","","",300,1,0,0,-,0,,,,,,,,"",0,0,0,0
000320250903221809182,2025/09/04,11:41:00,2025/09/04,11:41:00,3006,0,3006,0,0,2784,222,0,3006,222,5006,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,1,2,00:00:00,"伝票00036183",0003,"サジャニン","未設定",79D13C231451462488D131AC1C1F0274,"テイクアウト","ヤンニョムチキン T.O骨なし","ハーフ","",1950,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
000320250903221809182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79D13C231451462488D131AC1C1F0274,"テイクアウト","キンパ T.O","","",834,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904114654737,2025/09/04,11:46:30,2025/09/04,12:41:01,5445,5445,0,0,0,4950,495,0,5445,495,5445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,00:54:31,"D個室1",0003,"サジャニン","未設定",5ADA65AE23D34756A44FC48E8D630597,"アラカルト、一品","トッポキ","ノーマル","",800,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250904114654737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ADA65AE23D34756A44FC48E8D630597,"ごはん、麺類、チジミ","キンパ","","",850,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904114654737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ADA65AE23D34756A44FC48E8D630597,"ネネチキン","ハーフ&ハーフチキン","","",3300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904114654737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ADA65AE23D34756A44FC48E8D630597,"フレーバー選択","ヤンニョム","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904114654737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ADA65AE23D34756A44FC48E8D630597,"フレーバー選択","スノーウイング（チーズ）","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904115410678,2025/09/04,11:52:38,2025/09/04,12:51:54,2805,2805,0,0,0,2550,255,0,2805,255,0,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,00:59:15,"A1",0003,"サジャニン","未設定",2E8DAF21BB7A43158CD16BE0AA510FBB,"揚げ物、フライ","チーズハットク","","",500,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250904115410678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E8DAF21BB7A43158CD16BE0AA510FBB,"ネネチキン","あり 甘辛チーズ","ハーフ","",2050,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904122702600,2025/09/04,12:26:08,2025/09/04,13:33:24,3036,3036,0,0,0,2760,276,0,3036,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,01:07:16,"A3",0003,"サジャニン","未設定",8A1173B5943746BBBD93A452DCA76F8F,"ランチドリンク+100円","とうもろこし茶","","",100,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250904122702600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8A1173B5943746BBBD93A452DCA76F8F,"ランチドリンク+100円","レモンスカッシュ","","",100,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904122702600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8A1173B5943746BBBD93A452DCA76F8F,"ランチ","海鮮スンドゥブ定食","","",1360,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904122702600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8A1173B5943746BBBD93A452DCA76F8F,"ランチ","野菜たっぷりビビンパ定食","","",1200,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904123335676,2025/09/04,12:29:21,2025/09/04,13:39:20,8250,8250,0,0,0,7500,750,0,8250,750,0,0,0,0,8250,0,0,0,0,0,0,0,0,0,0,0,0,3,7,01:09:58,"A5",0003,"サジャニン","未設定",FB99587F7C8A4AD9A9743764925CBBD9,"サラダ","チョレギサラダ","","",700,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250904123335676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB99587F7C8A4AD9A9743764925CBBD9,"スープ、純豆腐など","ワカメスープ","","",500,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904123335676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB99587F7C8A4AD9A9743764925CBBD9,"トッピング","追加サンチュ","","",400,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904123335676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB99587F7C8A4AD9A9743764925CBBD9,"プレート料理","チーズサムギョプサル(2人前)300g","","",3400,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904123335676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB99587F7C8A4AD9A9743764925CBBD9,"ランチドリンク+100円","とうもろこし茶","","",100,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904123335676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB99587F7C8A4AD9A9743764925CBBD9,"ランチ","石焼ビビンパ定食","","",1100,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904123335676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB99587F7C8A4AD9A9743764925CBBD9,"ランチ","レモン冷麺定食","","",1300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904125106205,2025/09/04,12:46:24,2025/09/04,13:45:07,3960,3960,0,0,0,3600,360,0,3960,360,4000,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,3,00:58:43,"B4",0003,"サジャニン","未設定",5BD6E9169BCA48BABC50A4C10C7F33D0,"ランチ","ビビンパ定食","","",1000,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250904125106205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5BD6E9169BCA48BABC50A4C10C7F33D0,"ランチ","ジャジャン麺定食","","",1300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904125106205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5BD6E9169BCA48BABC50A4C10C7F33D0,"ランチ","レモン冷麺定食","","",1300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904124452587,2025/09/04,12:44:17,2025/09/04,13:45:59,4840,4840,0,0,0,4400,440,0,4840,440,0,0,0,0,0,4840,0,0,0,0,0,0,0,0,0,0,0,2,5,01:01:42,"B3",0003,"サジャニン","未設定",E9EC8357D55343A3AF2196F09CF2F036,"ごはん、麺類、チジミ","キンパ","","",850,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250904124452587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E9EC8357D55343A3AF2196F09CF2F036,"ネネチキン","あり ハーフ&ハーフチキン","","",3550,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904124452587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E9EC8357D55343A3AF2196F09CF2F036,"サービス、店員呼び出し、その他","店員呼び出し","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904124452587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E9EC8357D55343A3AF2196F09CF2F036,"フレーバー選択","カルビ味","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250904124452587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E9EC8357D55343A3AF2196F09CF2F036,"フレーバー選択","スパイシースノーウイング（甘辛チーズ）","","",0,1,0,0,-,0,,,,,,,,"",0,0,0,0
