menu_name,subtotal,quantity,構成比
茉莉花Majorca,1500.0,1,0.0566807738814994
氷、ボトル割りもの（割引対象外）,1500.0,1,0.0566807738814994
ローズレッドスナッパー,1400.0,1,0.05290205562273277
イチローズモルト ホワイトラベル,1400.0,1,0.05290205562273277
デュワーズ 12年,1300.0,1,0.04912333736396614
バスカー,1300.0,1,0.04912333736396614
ヘンリーマッケナ,1200.0,1,0.04534461910519952
紅茶,1000.0,1,0.037787182587666265
シーザーサラダ ハーフ,1000.0,1,0.037787182587666265
本日のパスタ,1000.0,1,0.037787182587666265
ハーパー,1000.0,1,0.037787182587666265
ウォッカ,0.0,1,0.0
No charge,0.0,55,0.0
