weekday,売上,客数,組数,客単価,営業日数,日平均売上,日平均客数,日平均客単価
月,255200.0,50,16,5104.0,3,85066.66666666667,16.666666666666668,5104.0
火,321320.0,54,20,5950.37037037037,3,107106.66666666667,18.0,5950.37037037037
水,256860.0,53,13,4846.415094339623,3,85620.0,17.666666666666668,4846.415094339623
木,405900.0,60,28,6765.0,5,81180.0,12.0,6765.0
金,755540.0,139,42,5435.5395683453235,5,151108.0,27.8,5435.5395683453235
土,581130.0,96,34,6053.4375,5,116226.0,19.2,6053.4375
日,175220.0,41,18,4273.658536585366,3,58406.666666666664,13.666666666666666,4273.658536585366
