year_week,売上,客数,組数,客単価,営業日数,日平均売上
2026-W01,146270.0,27,14,5417.407407407408,3,48756.666666666664
2026-W02,534580.0,89,27,6006.516853932584,4,133645.0
2026-W03,815130.0,132,44,6175.227272727273,7,116447.14285714286
2026-W04,628140.0,116,36,5415.0,7,89734.28571428571
2026-W05,627050.0,129,50,4860.852713178295,6,104508.33333333333
