business_hour,account_total,customer_count,account_id,time_bucket
18,83380.0,14,2,18-20時
19,233640.0,31,7,18-20時
20,318680.0,52,22,20-22時
21,783340.0,143,40,20-22時
22,364070.0,72,27,22-24時
23,527810.0,107,39,22-24時
24,347660.0,62,28,24-26時
25,92590.0,12,6,24-26時
