year_week,category1,subtotal,quantity,構成比
2026-W19,その他,46700.0,73,17.770167427701676
2026-W19,ウイスキー,40700.0,23,15.487062404870624
2026-W19,NEW CLASSIC COCKTAIL,39000.0,26,14.840182648401825
2026-W19,JAPANESE COCKTAIL,20900.0,11,7.9528158295281575
2026-W19,コース&セット,20000.0,2,7.610350076103501
2026-W19,FRUITS COCKTAIL,19500.0,13,7.4200913242009126
2026-W19,COLD APPETIZERS,12200.0,10,4.642313546423135
2026-W19,ウイスキー（ハイボール・ボトル・オリジナル）,12000.0,8,4.5662100456621
2026-W19,BAR SNACKS ,8900.0,13,3.3866057838660577
2026-W19,ジャパニーズウイスキー,8100.0,4,3.0821917808219177
2026-W19,DESSERT COCKTAIL,7500.0,5,2.853881278538813
2026-W19,HOT APPETIZERS,5200.0,4,1.97869101978691
2026-W19,ワイン（グラス）,4800.0,4,1.82648401826484
2026-W19,ジン,4600.0,3,1.750380517503805
2026-W19,MAIN DISHES,4000.0,2,1.5220700152207
2026-W19,DESSERT,3600.0,3,1.36986301369863
2026-W19,ビール,2300.0,2,0.8751902587519025
2026-W19,ソフトドリンク,1600.0,2,0.60882800608828
2026-W19,STANDARD COCKTAIL,1200.0,1,0.45662100456621
2026-W19,未設定,0.0,5,0.0
