予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20250925 15:16:01,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251101,1700,1900,お席のみのご予約,,,11,HPG即,"B1, B2, B3",SCV494951,550,,,,,
20251013 12:08:25,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251114,1900,2030,お席のみのご予約,,,6,HPG即,"A3, A4",SCX195454,300,,,,,
20251015 18:33:19,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251106,1900,2030,お席のみのご予約,,1000,5,HPG即,"A3, A4",SCX397996,250,,,,,
20251017 22:53:38,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251107,1800,2000,『各種120分飲み放題付』宴会にオススメ！生サムギョプサルのペゴパヨコース!!5000円,5500,,4,HPG即,A3,SCX629569,200,,,,,
20251018 07:23:10,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251115,1530,1700,,,,2,,A1,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20251020 14:16:45,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251104,2000,2130,お席のみのご予約,,,5,HPG即,"A3, A4",SCX850488,0,,"bdホットク
",,,
20251022 20:27:36,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251101,1200,1330,お席のみのご予約,,,3,HPG即,A3,SCY078663,30,,,,,
20251024 18:16:28,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251101,1130,1300,,,,2,,A5,,,,萌,,,
20251024 20:34:04,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251101,1800,1945,お席のみのご予約,,,3,HPG即,A1,SCY281517,150,,,,,
20251025 00:09:44,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251101,1830,2000,お席のみのご予約,,,2,HPG即,D個室2,SCY302524,100,,,,,
20251025 19:20:12,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251108,1800,1930,お席のみのご予約,,,2,HPG即,A5,SCY381136,0,,,,,
20251026 02:53:39,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251106,1900,2030,お席のみのご予約,,,2,HPG即,A1,SCY407353,100,,,,,
20251027 01:51:21,貴店キャンセル,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251130,1215,1345,,,,1,,B1,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20251028 12:38:48,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251116,1630,1930,お席のみのご予約,,,2,HPDS即,B4,SCY613834,,入り口付近は避けて欲しい,,,,
