予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20251017 22:59:20,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251220,1945,2115,,,,5,,"B1, B2",,,,"コース          ：お席のみのご予約
ご要望          ：
利用Vポイント   ：250ポイント
",,,
20251023 10:17:43,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251214,1700,1900,『各種120分飲み放題付』宴会にオススメ！チーズダッカルビのペゴパヨコース!!5000円,5500,,4,HPG即,A3,SCY115686,200,,,,,
20251027 20:21:30,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251206,1800,1940,お席のみのご予約,,,3,HPG即,B1,SCY566313,150,,,,,
20251029 21:05:05,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251206,1730,1900,,,,3,,B3,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20251106 12:18:32,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251207,1730,1900,お席のみのご予約,,,3,HPG即,B1,SCZ516256,0,,,,,
20251108 05:08:34,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251220,1800,1930,お席のみのご予約,,,3,HPG即,A5,SCZ720071,150,,,,,
20251108 13:22:40,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251205,1900,2030,,,,3,,A5,,,,,,,
20251109 23:19:08,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251206,1830,2000,,,,3,,A1,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20251111 21:03:42,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251213,1930,2100,,,,11,,"B2, B3, B4",,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20251112 19:48:36,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251230,1700,1900,,,,6,,"B1, B2",,,,"サム
スタンダード
",,,
20251114 14:29:38,顧客キャンセル,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251211,1130,1300,お席のみのご予約,,,4,HPDS即,A3,SD0376129,,,,,,
20251114 17:17:16,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251205,1900,2030,,,,25,,"A3, A4, A5, B1, B2, B3, B4, D個室1",,,,,,,
20251114 17:17:44,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251219,1900,2100,,,,20,,"A3, A4, A5, A1, B1, B2, B3",,,,"ぷてちげスタンダード
ノーマル3
辛さ控えめ2
",,,
20251114 18:09:04,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251214,1900,2030,,,,7,,"B3, B4",,,,,,,
20251115 18:29:38,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251206,1700,1830,お席のみのご予約,,,3,HPG即,A5,SD0521196,150,,,,,
20251116 20:13:24,貴店キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251219,1900,2100,『各種120分飲み放題付』大人気のチュクミサムギョプサルのスタンダードコース!!4500円,4950,,14,HPGリク,未割り当て,RAR090824,0,,,,,
20251117 17:53:51,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251227,1900,2030,,,,4,,D個室1,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20251118 19:05:12,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251207,1540,1710,お席のみのご予約,,,5,HPG即,"A3, A4",SD0825490,250,,,,,
20251120 13:11:03,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251206,1900,2030,お席のみのご予約,,,4,HPG即,B4,SD1006452,200,,,,,
20251120 17:12:03,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251213,1730,1910,お席のみのご予約,,800,5,HPG即,"A3, A4",SD1029863,250,,,,,
20251120 22:16:38,顧客キャンセル,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251209,1900,2030,,,,3,,A3,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20251121 15:14:30,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251205,1830,2000,お席のみのご予約,,,6,HPG即,"B1, B2",SD1138700,0,,,,,
20251122 19:35:38,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251205,1800,1945,お席のみのご予約,,,2,HPG即,A1,SD1290776,100,,,,,
20251124 00:49:56,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251206,1930,2100,,,,3,,A5,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20251126 16:56:10,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251212,1830,2030,,,,30,,"A3, A4, A5, A1, B1, B2, B3, B4, D個室1",,,,,,,
20251126 17:27:28,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251206,1900,2030,お席のみのご予約,,,2,HPG即,B2,SD1673959,100,,,,,
20251127 08:50:34,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251219,1845,2045,,,,4,,D個室1,,,,"コース          ：【各種120分飲み放題付】生サムギョプサルペゴパヨコース◆自家製キムチ盛りやサムギョプサルを楽しむ
ご要望          ：
生ビール当日決める
隣で宴会あるの伝えてます
了承済み
",,,
20251127 19:10:18,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251205,1930,2100,お席のみのご予約,,,2,HPG即,B1,SD1802123,100,,,,,
20251127 19:44:25,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251220,1800,2030,,,,8,,"B3, B4",,,,"コース          ：【各種120分飲み放題付】チーズダッカルビスタンダードコース◆チーズダッカルビや韓国のり、チヂミ、キンパなどを楽しむ！宴会に◎
ご要望          ：
",,,
20251128 08:32:35,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251211,1930,2100,お席のみのご予約,,,4,HPG即,B4,SD1855454,0,,,,,
20251128 13:13:47,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251229,1905,2045,,,,3,,A1,,,,,,,
20251128 17:04:01,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20251213,1700,1900,,,,6,,"D個室2, D個室1",,,,"生ビールなしサム

ポックンパコース
",,,
