予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20250707 23:44:12,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250807,1200,1330,お席のみのご予約,,,4,HPG即,A3,SCM355569,40,,,,,
20250716 20:28:01,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250802,1800,1930,お席のみのご予約,,,2,HPG即,A4,SCN214117,0,,,,,
20250716 23:44:31,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250809,1700,1830,お席のみのご予約,,,3,HPG即,B1,SCN237409,150,,,,,
20250719 20:51:00,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250809,1800,2000,『各種120分飲み放題付』生サムギョプサルのスタンダードコース!!3980円,4378,,4,HPG即,A3,SCN548014,200,,,,,
20250720 13:34:53,顧客キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250802,2050,2220,,,,6,,"A3, A4",,,,"萌
9時までに入店
",,,
20250724 17:34:12,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250802,1800,1930,お席のみのご予約,,,2,HPG即,A1,SCN999454,100,,,,,
20250725 18:29:51,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250810,1705,1920,,,,12,,"B1, B2, B3, B4",,,,"ペゴパヨ
サム
トッポギ",,,
20250727 08:39:35,顧客キャンセル,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250801,1700,1830,お席のみのご予約,,,4,HPDS即,A1,SCP267042,,,,,,
20250728 23:31:34,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250802,1700,1830,お席のみのご予約,,,3,HPG即,A3,SCP448588,150,,,,,
20250729 18:29:21,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250812,1700,1845,お席のみのご予約,,,3,HPG即,B4,SCP512540,150,,,,,
20250729 18:52:54,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250814,1130,1300,お席のみのご予約,,,6,HPG即,"A3, A4",SCP515651,0,,,,,
20250729 21:12:04,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250810,1730,1900,お席のみのご予約,,500,2,HPG即,A1,SCP533550,100,,,,,
20250729 22:22:45,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250802,1600,1730,お席のみのご予約,,,2,HPG即,A1,SCP542962,100,,,,,
20250731 14:52:31,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250802,1610,1810,,,,4,,D個室1,,,,,,,
