予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20260319 12:59:10,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260404,1800,1940,お席のみのご予約,,,2,HPG即,A5,SDE180711,100,,,,,
20260319 14:24:41,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260410,1830,2000,お席のみのご予約,,,4,HPG即,A1,SDE188909,0,,,,,
20260328 12:59:39,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260404,1930,2100,お席のみのご予約,,,2,HPG即,A1,SDF517236,100,,,,,
20260329 22:25:51,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260425,1800,1930,お席のみのご予約,,,5,HPG即,"B1, B2",SDF799164,0,,,,スマート支払い(未決済),
20260330 00:41:58,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260409,1130,1300,お席のみのご予約,,,2,HPG即,A5,SDF807314,20,,,,,
20260330 16:27:51,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260404,1900,2030,お席のみのご予約,,,4,HPG即,A3,SDF872807,200,,,,,
20260401 00:26:26,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260405,1800,1930,お席のみのご予約,,,2,HPG即,A1,SDG107534,100,,,,,
20260401 11:36:07,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1145,1315,,,,2,,A5,,,,,,,
20260401 12:10:53,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1215,1345,,,,2,,A1,,,,,,,
20260401 12:10:57,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1215,1345,,,,2,,A3,,,,,,,
20260401 12:34:41,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1245,1415,,,,2,,A5,,,,,,,
20260401 12:52:23,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1250,1420,,,,2,,B4,,,,,,,
20260401 13:06:15,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1700,1830,お席のみのご予約,,,2,HPG即,A5,SDG134644,100,,,,,
20260401 16:56:57,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1655,1825,,,,3,,A3,,,,,,,
20260401 18:49:18,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1845,2015,,,,2,,A5,,,,,,,
20260401 18:53:27,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1850,2020,,,,3,,B4,,,,,,,
20260401 18:55:41,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1855,2025,,,,3,,D個室1,,,,,,,
20260401 18:56:43,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1855,2025,,,,2,,A3,,,,,,,
20260401 19:20:25,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1920,2050,,,,2,,A1,,,,,,,
20260401 19:30:20,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1930,2100,,,,2,,B1,,,,,,,
20260401 19:42:02,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1940,2110,,,,2,,B2,,,,,,,
20260401 19:46:50,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1955,2125,,,,4,,"A4, A5",,,,,,,
20260401 19:49:47,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260401,1945,2115,,,,4,,B3,,,,,,,
