予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20260318 17:57:30,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260318,1755,1925,,,,2,,B4,,,,,,,
20260318 18:18:48,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1705,1855,,,,2,,A5,,,,"きい
時間遅れるかも",,,
20260318 18:28:01,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260324,1825,2025,,,,11,,"B1, B2, B3, B4",,,,"チーダ
ポックンパコース
お会計カードと現金ミックスかも
生なし
",,,
20260318 18:56:58,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260325,1845,2015,,,,2,,D個室1,,,,,,,
20260318 18:57:09,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260325,1830,2000,,,,2,,A1,,,,,,,
20260318 18:57:47,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260318,1855,2025,,,,3,,D個室1,,,,,,,
20260318 18:58:50,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260318,1950,2120,,,,2,,A5,,,,,,,
20260318 19:27:28,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1730,1930,お席のみのご予約,,1300,6,HPG即,"B1, B2",SDE102058,300,,,,,
20260318 19:29:52,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1830,2000,,,,2,,D個室1,,,,,,,
20260318 22:00:47,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1230,1400,お席のみのご予約,,,4,HPG即,A3,SDE130085,40,,,,,
20260319 00:07:51,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1200,1330,お席のみのご予約,,,2,HPG即,A5,SDE145046,20,,,,,
20260319 12:17:11,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1225,1355,,,,3,,A1,,,,,,,
20260319 12:21:28,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1230,1400,,,,2,,B4,,,,,,,
20260319 12:25:04,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1230,1400,,,,2,,B3,,,,,,,
20260319 12:41:22,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1245,1415,,,,2,,B2,,,,,,,
