予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20251123 21:46:58,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260118,1300,1530,,,,15,,"B1, B2, B3, B4",,,,"チーダスタンダード
金額4400税込みで",,,
20251204 13:39:10,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260124,1845,2045,,,,31,,"A3, A4, A5, A1, B1, B2, B3, B4, D個室2, D個室1",,,,"チーダスタンダード
ドリンクプレミアム生ビール
人数がかなり変われば
貸切できないこと
30きったら30人分の料金かかると伝えてます",,,
20251217 15:27:52,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260109,1830,2000,お席のみのご予約,,,7,HPG即,"B3, B4",SD4126785,350,,,,,
20251219 23:40:52,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260107,1905,2035,,,,6,,"B3, B4",,,,,,,
20251223 19:52:15,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260129,1900,2030,お席のみのご予約,,,2,HPG即,A1,SD4865845,100,,,,,
20251225 21:05:47,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260107,1830,2000,お席のみのご予約,,,2,HPG即,A5,SD5112207,0,,,,,
20251226 14:11:48,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260110,1800,2000,,,,4,,D個室1,,,,チーダライト,,,
20251226 16:53:58,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260116,1830,2030,『各種120分飲み放題付』生サムギョプサルのスタンダードコース!!3980円,4378,,14,HPG即,"B1, B2, B3, B4",SD5189642,700,新年会兼送別会ですので、固まって話がしやすいようなお席をお願いいしたいです。,,,,
20251226 17:02:33,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260116,1925,2055,,,,2,,D個室1,,,,,,,
20251227 23:15:20,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1815,2015,,,,7,,"A3, A4",,,,"コース          ：【各種120分飲み放題付】タッカンマリ鍋スタンダードコース◆タッカンマリ鍋や韓国のり、ヤンニョムチキンを楽しむ
ご要望          ：
",,,
20251230 19:55:32,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1730,1930,お席のみのご予約,,,3,HPG即,A5,SD5686818,150,,,,,
20260101 11:29:48,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1200,1330,お席のみのご予約,,,2,HPG即,A1,SD5779793,20,,,,,
20260101 16:03:43,無断キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1800,1930,お席のみのご予約,,,2,HPG即,B2,SD5795093,0,,,,,
20260103 12:38:18,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260122,1800,1930,お席のみのご予約,,,2,HPG即,A5,SD5944402,100,,,,,
20260103 13:53:56,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1530,1720,お席のみのご予約,,,5,HPG即,D個室1,SD5952029,250,,,,,
20260103 15:25:03,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1830,2000,お席のみのご予約,,,2,HPG即,B3,SD5961140,100,,,,,
20260103 15:57:15,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1555,1725,,,,2,,A3,,,,,,,
20260103 16:12:40,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1700,1830,お席のみのご予約,,,6,HPG即,"B1, B2",SD5966026,300,,,,,
20260103 17:03:02,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1700,1830,,,,2,,B3,,,,,,,
20260103 17:05:04,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1705,1835,,,,4,,B4,,,,,,,
20260103 17:05:42,来店待ち,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,2005,2135,,,,2,,A5,,,,,,,
20260103 17:09:30,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1705,1835,,,,2,,A1,,,,,,,
20260103 17:22:31,顧客キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1805,1935,,,,2,,A5,,,,,,,
20260103 17:25:04,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1725,1855,,,,2,,A5,,,,,,,
20260103 18:02:08,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1800,1930,,,,2,,A1,,,,,,,
20260103 18:07:02,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1805,1935,,,,2,,D個室1,,,,,,,
20260103 18:40:41,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1840,2010,,,,2,,B4,,,,,,,
20260103 18:41:47,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1920,2045,,,,2,,B1,,,,,,,
20260103 18:53:27,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,1920,2050,,,,2,,B2,,,,"電話
",,,
20260103 18:54:50,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,2000,2130,,,,2,,A1,,,,,,,
20260103 19:33:16,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,2025,2155,,,,2,,D個室1,,,,,,,
20260103 19:42:53,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,2030,2200,お席のみのご予約,,,2,HPG即,B1,SD5993872,100,,,,,
20260103 20:01:58,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,2020,2150,,,,2,,B4,,,,,,,
20260103 20:03:29,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260103,2030,2200,,,,4,,D個室1,,,,萌,,,
20260103 20:33:59,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1130,1300,お席のみのご予約,,,2,HPG即,A5,SD5998179,20,,,,,
20260103 22:38:09,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1240,1410,お席のみのご予約,,,3,HPG即,A3,SD6009053,30,,,,,
20260104 11:26:58,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1205,1335,,,,2,,B1,,,,,,,
20260104 11:41:11,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1140,1310,,,,2,,B4,,,,,,,
20260104 11:53:29,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260120,1815,1945,,,,4,,D個室1,,,,"個室希望
",,,
20260104 12:04:58,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1210,1340,,,,3,,B3,,,,,,,
20260104 12:05:33,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260104,1310,1440,,,,2,,D個室1,,,,,,,
