予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20260114 21:05:56,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260207,1900,2110,,,,12,,"B1, B2, B3, B4",,,,"サムコース
",,,
20260115 17:52:48,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260220,1800,1945,,,,3,,A3,,,,"来店予約
",,,
20260115 19:11:05,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260206,1230,1400,,,,3,,A5,,,,"萌
早くみえるかも
",,,
20260120 19:55:08,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260221,1700,1830,お席のみのご予約,,,4,HPG即,D個室1,SD7745785,200,,,,,
20260120 22:11:14,顧客キャンセル,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260212,1130,1300,お席のみのご予約,,,2,HPDS即,A5,SD7763014,,,,,,
20260123 04:46:31,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260201,1800,2010,『各種120分飲み放題付』大人気のチュクミサムギョプサルのスタンダードコース!!4500円,4950,,9,HPG即,"A3, A4, A5",SD7976874,450,,"ホットク
退職のかた
デザートのタイミングでだす
",,,
20260124 21:12:55,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260206,2000,2130,お席のみのご予約,,,3,HPG即,B4,SD8169790,150,あと1名増えるかもしれませんが、確認中のため3名で予約させていただきます。,,,,
20260127 01:24:10,貴店キャンセル,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260201,1830,2010,,,,2,,A1,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20260127 14:22:30,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260214,1230,1400,お席のみのご予約,,,4,HPG即,B1,SD8396812,40,,,,,
20260127 15:55:08,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260227,1900,2030,お席のみのご予約,,,2,HPG即,A1,SD8403325,100,,,,,
