year_week,category1,subtotal,quantity,構成比
2026-W16,未設定,182000.0,35,23.621025308241403
2026-W16,コース&セット,147500.0,27,19.143413367942895
2026-W16,ウイスキー（ハイボール・ボトル・オリジナル）,88800.0,74,11.524983776768332
2026-W16,NEW CLASSIC COCKTAIL,66400.0,44,8.617780661907853
2026-W16,その他,55100.0,75,7.151200519143414
2026-W16,JAPANESE COCKTAIL,38100.0,19,4.944841012329656
2026-W16,ウイスキー,36900.0,23,4.7890979883192735
2026-W16,COLD APPETIZERS,27900.0,22,3.6210253082414017
2026-W16,MAIN DISHES,24600.0,12,3.1927319922128485
2026-W16,BAR SNACKS ,17300.0,26,2.245295262816353
2026-W16,ビール,16000.0,13,2.0765736534717716
2026-W16,FRUITS COCKTAIL,13500.0,9,1.7521090201168072
2026-W16,黒板メニュー,10900.0,11,1.4146658014276443
2026-W16,ソフトドリンク,9800.0,12,1.2719013627514602
2026-W16,DESSERT COCKTAIL,7500.0,5,0.9733939000648929
2026-W16,HOT APPETIZERS,6600.0,5,0.8565866320571057
2026-W16,ワイン,6500.0,1,0.8436080467229071
2026-W16,ジャパニーズウイスキー,5100.0,3,0.6619078520441272
2026-W16,ワイン（グラス）,4000.0,3,0.5191434133679429
2026-W16,ドリンク,2400.0,2,0.31148604802076574
2026-W16,DESSERT,2400.0,2,0.31148604802076574
2026-W16,STANDARD COCKTAIL,1200.0,1,0.15574302401038287
