曜日,対象週売上,過去4週平均売上,売上差,対象週客数,過去4週平均客数,客数差,対象週1人単価,過去4週平均1人単価,1人単価差,客数要因寄与,客単価要因寄与,検算
月,211804.0,166982.5,44821.5,11,11.0,0.0,19254.909090909092,17030.547123015873,2224.361967893219,0.0,24467.98164682541,24467.98164682541
火,179840.0,172627.5,7212.5,9,13.5,-4.5,19982.222222222223,13629.645833333334,6352.576388888889,-75626.703125,71466.484375,-4160.21875
水,213750.0,210641.25,3108.75,14,9.75,4.25,15267.857142857143,21280.935064935064,-6013.07792207792,77666.18344155843,-71405.3003246753,6260.883116883124
木,219950.0,188061.25,31888.75,8,11.5,-3.5,27493.75,24766.343201754386,2727.4067982456145,-91455.16310307017,26592.21628289474,-64862.94682017543
金,248130.0,163081.25,85048.75,12,9.5,2.5,20677.5,19785.97355769231,891.5264423076915,50579.34194711539,9583.909254807684,60163.25120192308
土,264720.0,213753.75,50966.25,14,11.0,3.0,18908.571428571428,54495.44642857143,-35586.875,110106.02678571429,-444835.9375,-334729.9107142857
日,296635.0,213117.5,83517.5,17,13.0,4.0,17449.117647058825,18248.398962148964,-799.2813150901384,71395.03321841557,-11989.219726352076,59405.81349206349
