商品カテゴリ①,商品カテゴリ②,商品名,商品ID,商品単価,累計売上個数,累計売上,2024-11売上個数,2024-12売上個数,2025-01売上個数,2025-02売上個数,2025-03売上個数,2025-04売上個数,2025-05売上個数,2025-06売上個数,2025-07売上個数,2025-08売上個数,2025-09売上個数,2025-10売上個数,2024-11売上高,2024-12売上高,2025-01売上高,2025-02売上高,2025-03売上高,2025-04売上高,2025-05売上高,2025-06売上高,2025-07売上高,2025-08売上高,2025-09売上高,2025-10売上高
コース,コース,2時間飲み放題10off,00000000439,1800,24,43200,0,0,0,0,0,5,6,7,0,6,0,0,0,0,0,0,0,9000,10800,12600,0,10800,0,0
フード,刺身,炙り〆サバ,00000000188,680,61,41480,2,4,5,10,10,8,3,5,3,6,2,3,1360,2720,3400,6800,6800,5440,2040,3400,2040,4080,1360,2040
フード,サラダ,鮭いくらおにぎり,00000000364,680,61,41480,0,0,4,15,16,5,8,6,7,0,0,0,0,0,2720,10200,10880,3400,5440,4080,4760,0,0,0
ドリンク,ソフトドリンク,オレンジジュース,00000000168,350,118,41300,1,4,3,7,23,6,9,16,22,12,11,4,350,1400,1050,2450,8050,2100,3150,5600,7700,4200,3850,1400
フード,揚げ物,川エビ唐揚げ,00000000199,480,86,41280,3,10,5,11,21,9,4,4,3,4,9,3,1440,4800,2400,5280,10080,4320,1920,1920,1440,1920,4320,1440
フード,逸品料理,あさりの酒蒸し,00000000212,760,54,41040,4,9,5,6,9,4,4,4,1,1,4,3,3040,6840,3800,4560,6840,3040,3040,3040,760,760,3040,2280
フード,揚げ物,鶏軟骨唐揚げ,00000000196,530,77,40810,1,7,5,12,11,6,7,7,6,1,11,3,530,3710,2650,6360,5830,3180,3710,3710,3180,530,5830,1590
フード,サラダ,サーモンといくらの冷パスタ,00000000464,1580,32,40480,0,0,0,0,0,0,0,0,0,8,16,8,0,0,0,0,0,0,0,0,0,12640,19040,8800
フード,サラダ,エビとトマトのバジルソースパスタ,00000000427,1280,43,40400,0,0,0,0,0,2,3,7,4,7,12,8,0,0,0,0,0,1360,2040,4760,2720,8960,12560,8000
ドリンク,ホッピー,ホッピー白,00000000154,540,74,39960,0,1,4,3,5,6,9,10,18,12,2,4,0,540,2160,1620,2700,3240,4860,5400,9720,6480,1080,2160
フード,焼き物,ぼんじり串,00000000035,140,283,39620,7,20,44,23,38,34,14,26,44,17,11,5,980,2800,6160,3220,5320,4760,1960,3640,6160,2380,1540,700
フード,焼き物,砂肝串,00000000037,150,264,39600,3,21,21,31,33,32,7,21,30,29,28,8,450,3150,3150,4650,4950,4800,1050,3150,4500,4350,4200,1200
ドリンク,ビール,アサヒスーパードライ中瓶,00000000099,700,56,39200,1,2,0,5,4,7,20,0,3,6,2,6,700,1400,0,3500,2800,4900,14000,0,2100,4200,1400,4200
フード,サラダ,なすの南蛮漬け,00000000463,590,57,38830,0,0,0,0,0,0,0,0,8,25,22,2,0,0,0,0,0,0,0,0,4720,14750,17380,1980
ドリンク,カクテル,ピーチウーロン,00000000137,480,79,37920,0,1,3,5,16,9,5,9,10,9,7,5,0,480,1440,2400,7680,4320,2400,4320,4800,4320,3360,2400
フード,馬刺し,赤身,00000000082,880,43,37840,1,13,2,4,10,6,4,1,0,2,0,0,880,11440,1760,3520,8800,5280,3520,880,0,1760,0,0
フード,揚げ物,オニオンリング,00000000197,460,82,37720,1,7,7,13,11,10,7,6,6,3,7,4,460,3220,3220,5980,5060,4600,3220,2760,2760,1380,3220,1840
フード,逸品料理,にら玉オムレツ,00000000213,830,45,37350,2,6,8,5,11,1,1,3,2,2,2,2,1660,4980,6640,4150,9130,830,830,2490,1660,1660,1660,1660
フード,サラダ,ナスの山椒揚げ,00000000469,590,63,37170,0,0,0,0,0,0,0,0,0,0,38,25,0,0,0,0,0,0,0,0,0,0,22420,14750
フード,揚げ物,辛味チキン,00000000200,630,57,35910,0,0,1,7,5,8,6,5,10,6,6,3,0,0,630,4410,3150,5040,3780,3150,6300,3780,3780,1890
フード,サラダ,おでん,00000000414,1350,26,35100,0,0,0,1,19,6,0,0,0,0,0,0,0,0,0,1350,25650,8100,0,0,0,0,0,0
フード,サラダ,砂肝と胡瓜の和物,00000000462,590,55,34950,0,0,0,0,0,0,0,0,4,19,21,11,0,0,0,0,0,0,0,0,2360,11210,13790,7590
ドリンク,ホッピー,追加焼酎,00000000156,300,116,34800,1,0,7,14,10,12,11,10,24,19,5,3,300,0,2100,4200,3000,3600,3300,3000,7200,5700,1500,900
ドリンク,サワー,メガレモンサワー,00000000235,760,45,34200,9,4,2,4,6,0,9,0,1,0,1,9,6840,3040,1520,3040,4560,0,6840,0,760,0,760,6840
ドリンク,カクテル,カシスウーロン,00000000135,480,71,34080,1,3,3,11,9,4,3,12,10,6,7,2,480,1440,1440,5280,4320,1920,1440,5760,4800,2880,3360,960
フード,サラダ,ポテトサラダ,00000000181,530,64,33920,1,11,4,13,14,4,5,2,7,1,1,1,530,5830,2120,6890,7420,2120,2650,1060,3710,530,530,530
フード,刺身,カツオたたき,00000000186,630,51,32130,4,4,1,3,6,5,7,2,7,9,3,0,2520,2520,630,1890,3780,3150,4410,1260,4410,5670,1890,0
ランチ,ランチ,角煮定食,00000000416,990,32,31800,0,0,0,0,0,2,2,5,5,1,15,2,0,0,0,0,0,1980,1980,4950,4950,990,14970,1980
フード,デザート,揚げゴマ団子,00000000215,380,83,31540,2,7,3,6,16,10,9,8,6,9,3,4,760,2660,1140,2280,6080,3800,3420,3040,2280,3420,1140,1520
ドリンク,サワー,カルピスサワー,00000000117,430,71,31030,7,6,6,3,8,3,11,5,5,5,8,4,3010,2580,2580,1290,3440,1290,4730,2210,2250,2250,3600,1800
フード,デザート,プーレト,00000000466,2200,14,30800,0,0,0,0,0,0,0,0,0,9,4,1,0,0,0,0,0,0,0,0,0,19800,8800,2200
フード,焼き物,ホケ焼き,00000000420,780,39,30420,0,0,0,0,0,2,8,7,11,6,3,2,0,0,0,0,0,1560,6240,5460,8580,4680,2340,1560
フード,サラダ,かぼちゃと生ハムの餃子,00000000470,690,44,30360,0,0,0,0,0,0,0,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0,17940,12420
フード,焼き物,豚バラ串,00000000036,180,157,28260,4,23,18,21,18,16,19,6,11,4,9,8,720,4140,3240,3780,3240,2880,3420,1080,1980,720,1620,1440
フード,デザート,アイス(抹茶),00000000072,420,66,27720,0,0,0,5,8,8,10,6,7,8,11,3,0,0,0,2100,3360,3360,4200,2520,2940,3360,4620,1260
フード,焼き物,鶏モモ串,00000000032,100,212,27530,7,21,18,21,25,12,32,12,19,13,19,13,880,2730,2340,2730,3250,1560,4160,1560,2470,1690,2470,1690
フード,刺身,タコぶつ切り,00000000187,690,39,26910,3,2,3,4,7,4,3,6,4,1,2,0,2070,1380,2070,2760,4830,2760,2070,4140,2760,690,1380,0
フード,サラダ,チャーシュー,00000000426,590,39,26590,0,0,0,0,0,3,4,8,5,9,8,2,0,0,0,0,0,2040,2720,5440,3400,5310,4720,2960
フード,刺身,赤身,00000000435,880,29,25520,0,0,0,0,0,0,6,7,6,2,6,2,0,0,0,0,0,0,5280,6160,5280,1760,5280,1760
ドリンク,ホッピー,ホッピー黒,00000000155,540,47,25380,1,0,0,12,3,6,4,1,8,8,2,2,540,0,0,6480,1620,3240,2160,540,4320,4320,1080,1080
ドリンク,焼酎,芋)一刻者,00000000147,550,46,25300,0,11,4,1,6,4,3,3,4,0,3,7,0,6050,2200,550,3300,2200,1650,1650,2200,0,1650,3850
フード,焼き物,しいたけ串,00000000043,150,165,24750,4,2,13,35,22,20,12,16,22,6,5,8,600,300,1950,5250,3300,3000,1800,2400,3300,900,750,1200
フード,サラダ,その他,00000000216,2200,20,24420,10,10,0,0,0,0,0,0,0,0,0,0,19400,5020,0,0,0,0,0,0,0,0,0,0
ドリンク,日本酒,松竹梅,00000000123,780,31,24180,0,10,0,5,2,8,1,1,0,2,2,0,0,7800,0,3900,1560,6240,780,780,0,1560,1560,0
ドリンク,カクテル,ファジーネーブル,00000000136,480,50,24000,0,2,2,2,2,4,5,4,10,8,9,2,0,960,960,960,960,1920,2400,1920,4800,3840,4320,960
ドリンク,焼酎ボトル,赤霧島ボトル,00000000153,3980,6,23880,0,0,1,0,1,2,2,0,0,0,0,0,0,0,3980,0,3980,7960,7960,0,0,0,0,0
フード,揚げ物,揚げワンタン,00000000202,480,48,23040,2,2,7,5,10,2,3,4,4,4,3,2,960,960,3360,2400,4800,960,1440,1920,1920,1920,1440,960
ドリンク,焼酎,米)鳥飼,00000000148,550,41,22550,0,5,3,1,10,4,2,11,1,2,1,1,0,2750,1650,550,5500,2200,1100,6050,550,1100,550,550
フード,逸品料理,肉野菜炒め,00000000210,780,28,21840,2,5,4,3,4,1,1,1,0,4,2,1,1560,3900,3120,2340,3120,780,780,780,0,3120,1560,780
ドリンク,マッコリ,ピーチマッコリ,00000000159,420,51,21420,0,1,0,5,12,0,9,9,1,7,4,3,0,420,0,2100,5040,0,3780,3780,420,2940,1680,1260
ドリンク,カクテル,カシスソーダ,00000000132,480,44,21120,1,2,2,2,3,6,0,4,9,6,5,4,480,960,960,960,1440,2880,0,1920,4320,2880,2400,1920
ランチ,ランチ,生姜焼き定食,00000000173,950,22,20940,0,0,2,1,3,1,2,7,4,0,1,1,0,0,1900,950,2850,950,1900,6650,3800,0,990,950
ドリンク,ビール,テキーラ,00000000459,680,12,20480,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,13000,0,6800,680,0
ドリンク,ソフトドリンク,緑茶ホット,00000000164,350,58,20300,1,3,7,7,5,3,8,3,9,8,0,4,350,1050,2450,2450,1750,1050,2800,1050,3150,2800,0,1400
ドリンク,サワー,メガハイ,00000000447,760,26,19760,0,0,0,0,0,0,0,6,1,9,6,4,0,0,0,0,0,0,0,4560,760,6840,4560,3040
フード,食事,お茶漬け(梅),00000000070,530,37,19610,0,1,0,2,8,3,4,2,5,4,3,5,0,530,0,1060,4240,1590,2120,1060,2650,2120,1590,2650
ドリンク,ソフトドリンク,緑茶アイス,00000000163,350,56,19600,0,2,1,3,4,7,8,1,11,7,8,4,0,700,350,1050,1400,2450,2800,350,3850,2450,2800,1400
フード,焼き物,鶏皮串,00000000033,120,146,18970,6,3,13,15,17,20,20,14,20,5,10,3,770,390,1690,1950,2210,2600,2600,1820,2600,650,1300,390
フード,食事,鮭といくら丼,00000000455,1580,12,18960,0,0,0,0,0,0,0,4,1,3,1,3,0,0,0,0,0,0,0,6320,1580,4740,1580,4740
ドリンク,焼酎,麦)わんこ,00000000142,450,42,18900,1,1,2,0,1,7,17,7,5,0,1,0,450,450,900,0,450,3150,7650,3150,2250,0,450,0
ランチ,ランチ,日替わり,00000000417,1050,18,16650,0,0,0,0,0,3,3,2,3,0,2,5,0,0,0,0,0,2700,2700,1800,2700,0,2000,4750
ドリンク,マッコリ,カシスマッコリ,00000000158,420,39,16380,0,2,0,3,6,2,4,7,3,3,8,1,0,840,0,1260,2520,840,1680,2940,1260,1260,3360,420
ドリンク,ハイボール,ジンジャーハイボール,00000000356,480,34,16320,0,3,4,0,9,1,4,1,4,6,1,1,0,1440,1920,0,4320,480,1920,480,1920,2880,480,480
ドリンク,焼酎ボトル,炭酸水セット,00000000236,500,32,16000,0,2,2,7,3,4,5,2,4,0,3,0,0,1000,1000,3500,1500,2000,2500,1000,2000,0,1500,0
ドリンク,焼酎,鍛高譚,00000000149,500,32,16000,0,3,0,2,6,7,1,1,1,5,4,2,0,1500,0,1000,3000,3500,500,500,500,2500,2000,1000
ドリンク,サワー,リンゴサワー,00000000233,430,36,15800,2,3,1,0,2,2,8,7,1,2,6,2,860,1290,430,0,860,860,3440,3110,450,900,2700,900
ドリンク,カクテル,カシスグレープフルーツ,00000000134,480,32,15360,0,1,4,4,3,3,3,2,1,2,4,5,0,480,1920,1920,1440,1440,1440,960,480,960,1920,2400
フード,おつまみ,オニオンスライス,00000000217,420,35,14700,2,6,0,2,8,3,4,3,4,2,1,0,840,2520,0,840,3360,1260,1680,1260,1680,840,420,0
ドリンク,焼酎,黒糖)れんと,00000000150,550,26,14300,1,0,1,3,4,0,1,0,2,1,0,13,550,0,550,1650,2200,0,550,0,1100,550,0,7150
フード,焼き物,セセリー,00000000437,150,89,13350,0,0,0,0,0,3,20,12,26,14,9,5,0,0,0,0,0,450,3000,1800,3900,2100,1350,750
ランチ,ランチ,唐揚げの甘酢炒め定食,00000000177,950,14,13300,0,0,1,3,4,2,2,1,1,0,0,0,0,0,950,2850,3800,1900,1900,950,950,0,0,0
ランチ,ランチ,エビチャーハン,00000000172,7350,7,12750,0,0,4,1,1,0,0,1,0,0,0,0,0,0,10050,900,900,0,0,900,0,0,0,0
フード,お通し,その他,00000000430,150,217,12680,0,0,0,0,0,7,0,3,202,2,3,0,0,0,0,0,0,2660,0,4480,3560,300,1680,0
フード,デザート,いちごパフェ,00000000446,790,16,12640,0,0,0,0,0,0,1,11,4,0,0,0,0,0,0,0,0,0,790,8690,3160,0,0,0
ドリンク,ビール,黒ラベル中瓶,00000000098,700,17,11900,0,2,1,5,0,1,0,1,0,4,3,0,0,1400,700,3500,0,700,0,700,0,2800,2100,0
フード,焼き物,ししとう串,00000000042,130,89,11570,5,3,8,12,16,6,15,7,4,9,0,4,650,390,1040,1560,2080,780,1950,910,520,1170,0,520
ランチ,ランチ,レバニラ定食,00000000175,1900,11,11440,0,0,1,3,4,0,1,0,1,0,1,0,0,0,1900,2850,3800,0,950,0,950,0,990,0
フード,サラダ,ホタテといくらのカルパッチョ,00000000431,1000,11,11000,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,7000,4000,0,0,0,0,0
ランチ,ランチ,エビと玉子の炒め定食,00000000176,950,11,10450,0,0,2,1,2,2,1,3,0,0,0,0,0,0,1900,950,1900,1900,950,2850,0,0,0,0
フード,サラダ,小松菜の炒め,00000000228,780,13,10140,3,9,1,0,0,0,0,0,0,0,0,0,2340,7020,780,0,0,0,0,0,0,0,0,0
フード,おつまみ,冷奴,00000000183,420,24,10080,0,1,2,1,2,3,1,2,5,5,2,0,0,420,840,420,840,1260,420,840,2100,2100,840,0
ランチ,ランチ,餃子定食,00000000174,800,12,9600,0,0,2,3,0,2,3,1,1,0,0,0,0,0,1600,2400,0,1600,2400,800,800,0,0,0
ドリンク,お茶割,メガ　黒ウーロンハイ,00000000440,760,12,9120,0,0,0,0,0,0,5,1,0,5,1,0,0,0,0,0,0,0,3800,760,0,3800,760,0
フード,サラダ,たけのこ豚バラしょうゆ炒め,00000000472,890,10,8900,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,5340,3560
ドリンク,焼酎,泡盛)残波,00000000151,500,17,8500,0,0,0,0,1,3,1,1,2,8,1,0,0,0,0,0,500,1500,500,500,1000,4000,500,0
ランチ,ランチ,油淋鶏,00000000171,900,8,7200,0,0,4,3,1,0,0,0,0,0,0,0,0,0,3600,2700,900,0,0,0,0,0,0,0
フード,サラダ,豚野菜セロ蒸し,00000000433,1200,6,7200,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2400,4800,0,0,0,0,0
フード,サラダ,きびなご南蛮漬け,00000000471,690,10,6900,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3450,3450
ドリンク,焼酎,麦)閻魔,00000000143,450,15,6750,1,0,0,0,2,2,4,5,0,0,1,0,450,0,0,0,900,900,1800,2250,0,0,450,0
ドリンク,お茶割,メガージャスミンハイ,00000000442,760,8,6080,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,760,760,0,0,0,4560
フード,焼き物,にんにく串,00000000193,130,43,5590,1,0,6,14,6,1,6,2,6,1,0,0,130,0,780,1820,780,130,780,260,780,130,0,0
フード,刺身,イカ,00000000078,680,8,5440,0,1,0,2,1,1,2,0,1,0,0,0,0,680,0,1360,680,680,1360,0,680,0,0,0
フード,焼き物,ねぎ串,00000000044,130,40,5200,0,1,0,1,10,6,1,8,2,4,7,0,0,130,0,130,1300,780,130,1040,260,520,910,0
ランチ,ランチ,豚キムチ焼きうどん,00000000412,990,5,4790,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2850,950,0,0,0,0,0,990,0
ドリンク,焼酎ボトル,その他,00000000239,2200,8,4700,0,1,5,0,0,0,0,0,1,1,0,0,0,2200,1500,0,0,0,0,0,500,500,0,0
コース,追加,ラーメン,00000000254,350,13,4550,0,6,1,2,3,1,0,0,0,0,0,0,0,2100,350,700,1050,350,0,0,0,0,0,0
ドリンク,サワー,酎ハイ,00000000360,450,10,4500,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,1800,1800,0,900
ドリンク,サワー,グレープフルーツサワー,00000000231,430,8,3540,0,3,0,0,0,0,0,0,1,4,0,0,0,1290,0,0,0,0,0,0,450,1800,0,0
フード,サラダ,ハニーナッツのさつまいもサラダ,00000000475,690,5,3450,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3450
ドリンク,ハイボール,コークハイボール,00000000358,480,7,3360,0,1,0,0,1,1,1,0,3,0,0,0,0,480,0,0,480,480,480,0,1440,0,0,0
フード,おつまみ,甘酢きゅうり,00000000184,420,8,3360,0,4,0,3,1,0,0,0,0,0,0,0,0,1680,0,1260,420,0,0,0,0,0,0,0
ドリンク,お茶割,メガー緑茶ハイ,00000000441,760,4,3040,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,760,0,0,2280,0
ドリンク,ビール,メガ生ビール,00000000474,980,3,2940,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2940,0
ドリンク,サワー,メガレモンサワー,00000000366,730,4,2920,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2920,0,0,0,0,0,0,0,0,0
コース,追加,雑炊セット,00000000255,350,7,2450,0,1,1,2,3,0,0,0,0,0,0,0,0,350,350,700,1050,0,0,0,0,0,0,0
コース,コース,深夜料金,00000000419,200,11,2200,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,0,0,0,0,0
ドリンク,サワー,巨峰サワー,00000000232,430,5,2150,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2150,0,0,0,0,0,0,0,0
フード,サラダ,きびなごフライ,00000000473,690,3,2070,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2070
ドリンク,ハイボール,ゆずハイボール,00000000357,480,4,1920,0,2,0,0,0,1,0,0,0,0,1,0,0,960,0,0,0,480,0,0,0,0,480,0
フード,サラダ,葱じやこ厚揚げ,00000000476,590,2,1180,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1180
フード,揚げ物,ゲソ唐揚げ,00000000195,560,2,1120,0,2,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0
コース,追加,うどん,00000000253,350,3,1050,0,1,1,0,0,1,0,0,0,0,0,0,0,350,350,0,0,350,0,0,0,0,0,0
フード,サラダ,野菜セロ蒸し,00000000432,1000,1,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
ドリンク,ハイボール,レモンハイボール,00000000359,480,2,960,0,1,0,0,0,0,0,1,0,0,0,0,0,480,0,0,0,0,0,480,0,0,0,0
ランチ,ランチ,天津飯,00000000418,900,1,900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0
フード,揚げ物,明太ポテトフライ,00000000438,530,1,530,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0
ドリンク,焼酎ボトル,烏龍茶セット,00000000237,500,1,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
コース,追加,肉団子,00000000250,480,1,480,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0
