商品カテゴリ①,商品カテゴリ②,商品名,商品ID,商品単価,累計売上個数,累計売上,2024-11売上個数,2024-12売上個数,2025-01売上個数,2025-02売上個数,2025-03売上個数,2025-04売上個数,2025-05売上個数,2025-06売上個数,2025-07売上個数,2025-08売上個数,2025-09売上個数,2025-10売上個数,2024-11売上高,2024-12売上高,2025-01売上高,2025-02売上高,2025-03売上高,2025-04売上高,2025-05売上高,2025-06売上高,2025-07売上高,2025-08売上高,2025-09売上高,2025-10売上高
フード,揚げ物,ポテトフライ,00000000061,480,534,256320,3,57,35,65,90,44,45,47,57,32,40,19,1440,27360,16800,31200,43200,21120,21600,22560,27360,15360,19200,9120
ドリンク,ハイボール,メガジムビームハイボール,00000000104,850,282,243270,10,15,29,17,28,26,33,40,31,18,15,20,8500,12750,24650,14450,23800,22100,28050,35050,27280,15840,13200,17600
フード,逸品料理,とんぺい焼き,00000000206,780,309,241020,3,14,10,18,27,31,45,36,40,34,39,12,2340,10920,7800,14040,21060,24180,35100,28080,31200,26520,30420,9360
フード,焼き物,するめいか焼き,00000000194,680,341,231880,4,6,7,12,6,44,45,58,51,40,35,33,2720,4080,4760,8160,4080,29920,30600,39440,34680,27200,23800,22440
フード,揚げ物,若鶏唐揚げ,00000000057,560,393,220080,3,15,13,18,22,47,40,62,61,42,43,27,1680,8400,7280,10080,12320,26320,22400,34720,34160,23520,24080,15120
フード,逸品料理,ネギ塩牛タン,00000000209,1080,198,213840,1,6,12,11,14,26,31,23,22,26,18,8,1080,6480,12960,11880,15120,28080,33480,24840,23760,28080,19440,8640
ドリンク,ソフトドリンク,黒烏龍茶アイス,00000000161,350,604,211400,9,24,25,24,41,38,58,115,103,77,67,23,3150,8400,8750,8400,14350,13300,20300,40250,36050,26950,23450,8050
フード,サラダ,チーズだっぷりピーマンの肉巻き,00000000227,780,248,204840,4,20,27,41,34,26,18,18,23,17,11,9,3120,15600,21060,31980,26520,22080,15840,15840,20240,14960,9680,7920
フード,サラダ,鶏のパリッと焼きパセリバター,00000000223,880,307,197560,4,4,22,42,65,28,35,30,30,14,20,13,3520,3520,13360,24360,37700,18540,23800,20400,20400,9520,13600,8840
ドリンク,お茶割,ジャスミンハイ,00000000122,430,448,192640,0,10,12,35,24,30,65,60,61,66,62,23,0,4300,5160,15050,10320,12900,27950,25800,26230,28380,26660,9890
フード,サラダ,温玉入シーザーサラダ,00000000019,680,281,191080,2,12,16,14,14,23,36,38,42,39,30,15,1360,8160,10880,9520,9520,15640,24480,25840,28560,26520,20400,10200
ドリンク,ハイボール,ジムビームハイボール,00000000103,460,408,190240,18,23,40,40,32,42,77,29,25,23,37,22,8280,10580,18400,18400,14720,19320,35420,13760,12000,11040,17760,10560
フード,おつまみ,よだれ鶏,00000000219,680,279,189720,5,6,6,10,16,36,37,42,35,37,34,15,3400,4080,4080,6800,10880,24480,25160,28560,23800,25160,23120,10200
フード,焼き物,エイヒレ炙り,00000000048,530,353,187090,4,19,14,18,33,41,44,47,49,34,29,21,2120,10070,7420,9540,17490,21730,23320,24910,25970,18020,15370,11130
コース,コース,ク飲み放題,00000000355,1500,124,186000,0,0,0,0,34,2,16,41,14,4,11,2,0,0,0,0,51000,3000,24000,61500,21000,6000,16500,3000
