"D.オーダーステータス","D.数量","D.価格","D.商品","D.商品カテゴリ1","D.商品カテゴリ2","H.集計対象営業年月日"
"30:キャンセル済","0","0","00000000243:贅沢海鮮コース","コース","コース","2025/02/01"
"30:キャンセル済","0","0","00000000243:贅沢海鮮コース","コース","コース","2025/02/01"
"30:キャンセル済","0","0","00000000243:贅沢海鮮コース","コース","コース","2025/02/01"
"30:キャンセル済","0","0","00000000243:贅沢海鮮コース","コース","コース","2025/02/01"
"30:キャンセル済","0","0","00000000243:贅沢海鮮コース","コース","コース","2025/02/01"
"30:キャンセル済","0","0","00000000243:贅沢海鮮コース","コース","コース","2025/02/01"
"30:キャンセル済","0","0","00000000192:焼鳥七点盛り合わせ","フード","焼き物","2025/02/01"
"30:キャンセル済","0","0","00000000061:ポテトフライ","フード","揚げ物","2025/02/01"
"30:キャンセル済","0","0","00000000048:エイヒレ炙り","フード","焼き物","2025/02/01"
"30:キャンセル済","0","0","00000000204:牛すじ煮込み","フード","逸品料理","2025/02/01"
"30:キャンセル済","0","0","00000000049:子持ちししゃも","フード","焼き物","2025/02/01"
"30:キャンセル済","0","0","00000000061:ポテトフライ","フード","揚げ物","2025/02/01"
"30:キャンセル済","0","0","00000000199:川エビ唐揚げ","フード","揚げ物","2025/02/01"
"30:キャンセル済","0","0","00000000362:お通し","フード","お通し","2025/02/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/01"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/01"
"20:配膳済","1","950","00000000192:焼鳥七点盛り合わせ","フード","焼き物","2025/02/01"
"20:配膳済","1","1780","00000000190:お任せ5点盛り合わせ","フード","刺身","2025/02/01"
"20:配膳済","1","680","00000000031:ｱﾎﾞｶﾄﾞ漬鮪のぶつ切り","フード","おつまみ","2025/02/01"
"20:配膳済","1","420","00000000027:冷やしトマト","フード","おつまみ","2025/02/01"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/01"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/01"
"20:配膳済","1","2000","00000000354:2h飲み放題","コース","コース","2025/02/01"
"20:配膳済","1","2000","00000000354:2h飲み放題","コース","コース","2025/02/01"
"20:配膳済","1","780","00000000227:チーズだっぷりピーマンの肉巻き","フード","サラダ","2025/02/01"
"20:配膳済","1","380","00000000182:枝豆","フード","おつまみ","2025/02/01"
"20:配膳済","1","560","00000000057:若鶏唐揚げ","フード","揚げ物","2025/02/01"
"20:配膳済","1","480","00000000061:ポテトフライ","フード","揚げ物","2025/02/01"
"20:配膳済","1","3800","00000000241:宴煌コース","コース","コース","2025/02/01"
"20:配膳済","1","3800","00000000241:宴煌コース","コース","コース","2025/02/01"
"20:配膳済","1","3800","00000000241:宴煌コース","コース","コース","2025/02/01"
"30:キャンセル済","0","0","00000000362:お通し","フード","お通し","2025/02/01"
"30:キャンセル済","0","0","00000000362:お通し","フード","お通し","2025/02/01"
"30:キャンセル済","0","0","00000000362:お通し","フード","お通し","2025/02/01"
"30:キャンセル済","0","0","00000000136:ファジーネーブル","ドリンク","カクテル","2025/02/01"
"30:キャンセル済","0","0","00000000115:白桃サワー","ドリンク","サワー","2025/02/01"
"30:キャンセル済","0","0","00000000097:生ビール","ドリンク","ビール","2025/02/01"
"30:キャンセル済","0","0","00000000207:揚げ出し豆腐","フード","逸品料理","2025/02/01"
"30:キャンセル済","0","0","00000000211:だし巻き卵","フード","逸品料理","2025/02/01"
"30:キャンセル済","0","0","00000000208:手作り小籠包","フード","逸品料理","2025/02/01"
"30:キャンセル済","0","0","00000000192:焼鳥七点盛り合わせ","フード","焼き物","2025/02/01"
"30:キャンセル済","0","0","00000000057:若鶏唐揚げ","フード","揚げ物","2025/02/01"
"30:キャンセル済","0","0","00000000119:すりおろしりんごサワー","ドリンク","サワー","2025/02/01"
"30:キャンセル済","0","0","00000000130:南高梅酒","ドリンク","梅酒","2025/02/01"
"30:キャンセル済","0","0","00000000131:すっきり梅酒","ドリンク","梅酒","2025/02/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","700","00000000099:アサヒスーパードライ中瓶","ドリンク","ビール","2025/02/03"
"20:配膳済","1","660","00000000201:タコ唐揚げ","フード","揚げ物","2025/02/03"
"20:配膳済","1","680","00000000039:焼き鳥五点盛り合わせ","フード","焼き物","2025/02/03"
"20:配膳済","1","420","00000000157:ソウルマッコリ","ドリンク","マッコリ","2025/02/03"
"20:配膳済","1","780","00000000206:とんぺい焼き","フード","逸品料理","2025/02/03"
"20:配膳済","1","780","00000000123:松竹梅","ドリンク","日本酒","2025/02/03"
"20:配膳済","1","780","00000000123:松竹梅","ドリンク","日本酒","2025/02/03"
"20:配膳済","1","1380","00000000247:牛もつ鍋一人前","コース","コース","2025/02/03"
"20:配膳済","1","540","00000000154:ホッピー白","ドリンク","ホッピー","2025/02/03"
"20:配膳済","1","1380","00000000247:牛もつ鍋一人前","コース","コース","2025/02/03"
"20:配膳済","1","300","00000000156:追加焼酎","ドリンク","ホッピー","2025/02/03"
"20:配膳済","1","380","00000000025:胡瓜一本漬け","フード","おつまみ","2025/02/03"
"20:配膳済","1","900","00000000171:油淋鶏","ランチ","ランチ","2025/02/03"
"20:配膳済","1","950","00000000177:唐揚げの甘酢炒め定食","ランチ","ランチ","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","430","00000000352:博多ハイボール","ドリンク","ハイボール","2025/02/03"
"20:配膳済","1","680","00000000039:焼き鳥五点盛り合わせ","フード","焼き物","2025/02/03"
"20:配膳済","1","1900","00000000170:唐揚げ定食","ランチ","ランチ","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","680","00000000019:温玉入シーザーサラダ","フード","サラダ","2025/02/03"
"20:配膳済","1","630","00000000208:手作り小籠包","フード","逸品料理","2025/02/03"
"20:配膳済","1","880","00000000221:辛味チキン","フード","サラダ","2025/02/03"
"20:配膳済","1","960","00000000102:メガ角ハイボール","ドリンク","ハイボール","2025/02/03"
"20:配膳済","1","960","00000000102:メガ角ハイボール","ドリンク","ハイボール","2025/02/03"
"20:配膳済","1","480","00000000199:川エビ唐揚げ","フード","揚げ物","2025/02/03"
"20:配膳済","1","680","00000000031:ｱﾎﾞｶﾄﾞ漬鮪のぶつ切り","フード","おつまみ","2025/02/03"
"20:配膳済","1","7500","00000000170:唐揚げ定食","ランチ","ランチ","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/02/03"
"20:配膳済","1","1780","00000000190:お任せ5点盛り合わせ","フード","刺身","2025/02/03"
"20:配膳済","1","580","00000000223:いぶりがっことクリームチーズ","フード","サラダ","2025/02/03"
"20:配膳済","1","880","00000000221:辛味チキン","フード","サラダ","2025/02/03"
"20:配膳済","1","560","00000000218:長芋ワサビ漬け","フード","おつまみ","2025/02/03"
"20:配膳済","1","680","00000000203:モツ煮","フード","逸品料理","2025/02/03"
"20:配膳済","1","680","00000000204:牛すじ煮込み","フード","逸品料理","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/02/03"
"20:配膳済","1","430","00000000114:シークワーサーサワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","150","00000000037:砂肝串","フード","焼き物","2025/02/03"
"20:配膳済","1","150","00000000037:砂肝串","フード","焼き物","2025/02/03"
"20:配膳済","1","150","00000000037:砂肝串","フード","焼き物","2025/02/03"
"20:配膳済","1","130","00000000033:鶏皮串","フード","焼き物","2025/02/03"
"20:配膳済","1","130","00000000033:鶏皮串","フード","焼き物","2025/02/03"
"20:配膳済","1","130","00000000033:鶏皮串","フード","焼き物","2025/02/03"
"20:配膳済","1","140","00000000035:ぼんじり串","フード","焼き物","2025/02/03"
"20:配膳済","1","140","00000000035:ぼんじり串","フード","焼き物","2025/02/03"
"20:配膳済","1","140","00000000035:ぼんじり串","フード","焼き物","2025/02/03"
"20:配膳済","1","190","00000000191:鶏ハツ","フード","焼き物","2025/02/03"
"20:配膳済","1","190","00000000191:鶏ハツ","フード","焼き物","2025/02/03"
"20:配膳済","1","190","00000000191:鶏ハツ","フード","焼き物","2025/02/03"
"20:配膳済","1","180","00000000036:豚バラ串","フード","焼き物","2025/02/03"
"20:配膳済","1","180","00000000036:豚バラ串","フード","焼き物","2025/02/03"
"20:配膳済","1","180","00000000036:豚バラ串","フード","焼き物","2025/02/03"
"20:配膳済","1","480","00000000061:ポテトフライ","フード","揚げ物","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/02/03"
"20:配膳済","1","430","00000000114:シークワーサーサワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","530","00000000097:生ビール","ドリンク","ビール","2025/02/03"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/02/03"
"20:配膳済","1","430","00000000114:シークワーサーサワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","430","00000000113:レモンサワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","430","00000000115:白桃サワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","130","00000000032:鶏モモ串","フード","焼き物","2025/02/03"
"20:配膳済","1","160","00000000038:つくね串","フード","焼き物","2025/02/03"
"20:配膳済","1","180","00000000036:豚バラ串","フード","焼き物","2025/02/03"
"20:配膳済","1","150","00000000043:しいたけ串","フード","焼き物","2025/02/03"
"20:配膳済","1","130","00000000042:ししとう串","フード","焼き物","2025/02/03"
"20:配膳済","1","420","00000000027:冷やしトマト","フード","おつまみ","2025/02/03"
"20:配膳済","1","460","00000000197:オニオンリング","フード","揚げ物","2025/02/03"
"20:配膳済","1","480","00000000129:山崎梅酒","ドリンク","梅酒","2025/02/03"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/02/03"
"20:配膳済","1","430","00000000114:シークワーサーサワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","430","00000000113:レモンサワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","530","00000000181:ポテトサラダ","フード","サラダ","2025/02/03"
"20:配膳済","1","480","00000000061:ポテトフライ","フード","揚げ物","2025/02/03"
"20:配膳済","1","480","00000000202:揚げワンタン","フード","揚げ物","2025/02/03"
"20:配膳済","1","630","00000000208:手作り小籠包","フード","逸品料理","2025/02/03"
"20:配膳済","1","480","00000000132:カシスソーダ","ドリンク","カクテル","2025/02/03"
"20:配膳済","1","480","00000000061:ポテトフライ","フード","揚げ物","2025/02/03"
"20:配膳済","1","480","00000000061:ポテトフライ","フード","揚げ物","2025/02/03"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/02/03"
"20:配膳済","1","430","00000000114:シークワーサーサワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","430","00000000113:レモンサワー","ドリンク","サワー","2025/02/03"
"20:配膳済","1","430","00000000122:ジャスミンハイ","ドリンク","お茶割","2025/02/03"
