year_week,menu_name,subtotal,quantity,構成比
2025-W52,その他CLPコース,87500.0,20,8.6753916319651
2025-W52,tablecharge,65500.0,147,6.4941503073567315
2025-W52,7000円飲み放題付（2時間制）,60000.0,12,5.94883997620464
2025-W52,本わさびジンソニック,38200.0,21,3.787428118183621
2025-W52,ガージェリー,36400.0,48,3.608962918897482
2025-W52,クラシックカクテル,34500.0,22,3.4205829863176684
2025-W52,ハウスハイボール,23400.0,18,2.3200475907198097
2025-W52,禁断パスタ,23400.0,17,2.3200475907198097
2025-W52,ハイティー（ノンアルコール）,22000.0,4,2.181241324608368
2025-W52,バロン・ド・ロスチャイルド・ブリュット,20000.0,1,1.9829466587348803
2025-W52,マルゲリータ,18000.0,10,1.784651992861392
2025-W52,ボトルワイン,18000.0,2,1.784651992861392
2025-W52,ラリエ,15000.0,1,1.48720999405116
2025-W52,Niu Japonica,14400.0,9,1.4277215942891135
2025-W52,ハートランド,14000.0,14,1.388062661114416
2025-W52,生チョコレート,14000.0,14,1.388062661114416
2025-W52,山葵と梨のスマッシュ,13800.0,6,1.3682331945270672
2025-W52,フレンチフライ,13000.0,19,1.288915328177672
2025-W52,ウイスキー,12800.0,8,1.2690858615903233
2025-W52,ボウモア12年,12800.0,8,1.2690858615903233
2025-W52,Syndicate,12600.0,7,1.2492563950029745
2025-W52,ヘーゼルナッツラテ,11700.0,11,1.1600237953599049
2025-W52,ラザニア,11200.0,7,1.110450128891533
2025-W52,チーズ盛り合わせ,11000.0,5,1.090620662304184
2025-W52,"サングリア赤　1,800円",10800.0,6,1.0707911957168352
2025-W52,Hojicha Negroni,10200.0,6,1.0113027959547887
2025-W52,ラフロイグ10年,10200.0,6,1.0113027959547887
2025-W52,エンジン,9600.0,6,0.9518143961927424
2025-W52,生ハム盛り,9600.0,8,0.9518143961927424
2025-W52,シャーリーテンプル,9100.0,11,0.9022407297243705
2025-W52,Kamille Bloom,9100.0,15,0.9022407297243705
2025-W52,トマトのカプレーゼ,9000.0,8,0.892325996430696
