期間,曜日,営業時間外会計数,営業時間外売上,特殊計上アイテム数,特殊計上売上,極端会計数,極端会計売上
前週,木,0,0.0,1,1000.0,2,107200.0
前週,金,2,19400.0,11,12000.0,0,0.0
前週,土,3,77450.0,10,10500.0,4,79250.0
前週,日,1,7100.0,4,2500.0,1,7100.0
前週,月,0,0.0,9,11500.0,1,-29200.0
前週,火,3,22900.0,8,7000.0,0,0.0
前週,水,0,0.0,10,5500.0,4,-12200.0
対象週,木,6,90100.0,10,10000.0,2,51200.0
対象週,金,0,0.0,9,11500.0,1,66300.0
対象週,土,2,26000.0,10,12000.0,1,53000.0
対象週,日,1,2000.0,7,8000.0,2,13600.0
対象週,月,1,14900.0,8,12000.0,0,0.0
対象週,火,2,17800.0,7,8000.0,0,0.0
