business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,15842670.0,2935,1087,5397.843270868824,その他
7,18108500.0,3534,1312,5124.080362195812,その他
8,22019320.0,4433,1678,4967.137378750282,その他
9,13117620.0,2333,889,5622.6403771967425,その他
10,6126260.0,858,415,7140.16317016317,その他
11,918740.0,98,48,9374.897959183674,その他
12,241820.0,18,8,13434.444444444445,その他
13,130230.0,5,5,26046.0,その他
21,170.0,1,1,170.0,20-22時
22,122740.0,11,9,11158.181818181818,22-24時
23,113800.0,61,21,1865.5737704918033,22-24時
24,117990.0,37,8,3188.9189189189187,24-26時
25,241720.0,91,7,2656.263736263736,24-26時
26,348180.0,71,11,4903.943661971831,その他
27,1391860.0,418,114,3329.8086124401916,その他
28,3315710.0,812,367,4083.386699507389,その他
29,10466730.0,1990,771,5259.663316582914,その他
