month_num,product,delta_sales_per_customer,sales_per_customer_2024,sales_per_customer_2025
3,ビフチキ定食,0.0,0.0,0.0
3,無料：チーズ,0.0,0.0,0.0
3,キティ,0.0,0.0,0.0
3,【肉の日】ビフチキ定食,0.0,0.0,0.0
3,赤ワイン,0.0,0.0,0.0
3,どっさりチーズ,0.0,0.0,0.0
3,海老マヨwithブロッコリー,0.0,0.0,0.0
3,ブラックニッカ ハイボール,-2.3,2.3,0.0
3,コークハイ,0.0,0.0,0.0
3,単品スパイシーポーク,-0.09,0.09,0.0
3,スマチキ定食,0.0,0.0,0.0
3,ほぼ倍 ジンジャーハイ,0.0,0.0,0.0
3,チキテキ定食,0.0,0.0,0.0
3,【無料】肉専用キャベツ,0.0,0.0,0.0
3,野菜炒め,0.0,0.0,0.0
3,シャンディガフ,0.0,0.0,0.0
3,スパイスチキテキ定食,0.0,0.0,0.0
3,ほぼ倍 レモンサワー,0.0,0.0,0.0
3,オペレーター,0.0,0.0,0.0
3,【肉の日】スマチキ定食,0.0,0.0,0.0
3,【無料】ハイボール,0.0,0.0,0.0
3,コカ・コーラ,-4.57,4.57,0.0
3,ねぎマヨ,0.0,0.0,0.0
3,【OPEN】ビフテキ定食 M,0.0,0.0,0.0
3,生わさびと二段熟成生醤油,0.0,0.0,0.0
3,ほぼ倍 ハイボール,0.0,0.0,0.0
3,【追い肉】チキテキ,0.0,0.0,0.0
3,ごちめし(小盛),-0.16,0.16,0.0
3,ごちめしセット(小盛),-6.31,6.31,0.0
3,ねぎじゃこのまぜそば,-49.12,49.12,0.0
3,海老とブロッコリーのアヒージョ,0.0,0.0,0.0
3,スマッシュタワー定食,0.0,0.0,0.0
3,ごちめしセット(並盛),-6.34,6.34,0.0
3,ジンジャーエール,0.0,0.0,0.0
3,無料【追い肉】チキテキ,0.0,0.0,0.0
3,【単品】ビフテキ,0.0,0.0,0.0
3,【OPEN】ビフスマ定食,0.0,0.0,0.0
3,檸檬チキンアヒージョ,0.0,0.0,0.0
3,無料：パクチー,0.0,0.0,0.0
3,フライドガーリック,0.0,0.0,0.0
3,単品グリルチキン,-3.55,3.55,0.0
3,ペプシコーラ,0.0,0.0,0.0
3,【OPEN】ビフチキ定食,0.0,0.0,0.0
3,てりマヨソース,0.0,0.0,0.0
3,パクチーのまぜそば,-36.99,36.99,0.0
3,ジンジャーハイ,0.0,0.0,0.0
3,【無料】ライス大盛,0.0,0.0,0.0
