year_week,category1,subtotal,quantity,構成比
2026-W23,テイクアウト,558080.0,113,41.852337920431964
2026-W23,デリバリー,315000.0,648,23.62293299336308
2026-W23,フード,294800.0,156,22.108065544264875
2026-W23,ドリンク,82350.0,100,6.175709625407777
2026-W23,コース,63400.0,13,4.7545839739022835
2026-W23,ランチ,14600.0,4,1.0949041958828603
2026-W23,ウーバーイーツ,5220.0,30,0.3914657467471596
