取引No,元取引No,取引日,取引時間,来店日,来店時間,店舗番号,店舗名,取引種別,レジ番号,レジ担当者番号,レジ担当者名,商品名,バリエーション種別1,バリエーション種別2,販売単位,商品単価,販売分量,商品数,商品合計金額,割引・割増,個別割引・割増金額,単位,個別割引・割増数,個別割引・割増合計金額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額,小計数,小計,外税額,カスタム割引・割増,端数値引,割引調整,合計,内消費税,合計（10%標準）,内消費税（10%標準）,合計（8%標準）,内消費税（8%標準）,合計（8%軽減）,内消費税（8%軽減）,合計（非課税）,クレジットカード(Airペイ タッチ),クレジットカード(Airペイ),現金,iD(Airペイ),交通系電子マネー(Airペイ),UnionPay 銀聯(Airペイ),ポイント(ホットペッパーグルメ),QUICPay(Airペイ),QR決済(Airペイ QR),スマート支払い(ホットペッパーグルメ),QR決済(Airペイ),クレジットカード(オンライン決済),クレジットカード(モバイルオーダー 店外版),ポイント(Airペイ ポイント),クレジットカード/電子マネー(Square),Pontaポイント/リクルートポイント,Apple Pay(Airペイ),お預り金額,おつり金額
HD0020250103173729293,,2025/01/03,18:38:17,2025/01/03,17:36:27,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,えのき肉巻き,,,,280,,1,280,,0,-,0,0,,0,0,0,0,13,4560,456,0,0,0,5016,456,5016,456,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,0
HD0020250103173729293,,2025/01/03,18:38:17,2025/01/03,17:36:27,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,豚しそ巻き,,,,220,,1,220,,0,-,0,0,,0,0,0,0,13,4560,456,0,0,0,5016,456,5016,456,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,0
HD0020250103173729293,,2025/01/03,18:38:17,2025/01/03,17:36:27,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,うずら肉巻き串,,,,220,,1,220,,0,-,0,0,,0,0,0,0,13,4560,456,0,0,0,5016,456,5016,456,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,0
HD0020250103173729293,,2025/01/03,18:38:17,2025/01/03,17:36:27,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,つくね,,,,280,,1,280,,0,-,0,0,,0,0,0,0,13,4560,456,0,0,0,5016,456,5016,456,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,0
HD0020250103173729293,,2025/01/03,18:38:17,2025/01/03,17:36:27,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,ウーロンハイ,ノーマル,,,450,,1,450,,0,-,0,0,,0,0,0,0,13,4560,456,0,0,0,5016,456,5016,456,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,0
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,瓶ビール【赤星】,,,,680,,1,680,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,お通し,女性,,,300,,1,300,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,お通し,男性,,,300,,1,300,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,イモフライ,,,,380,,1,380,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,きつねピザ,,,,480,,1,480,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,梅水晶,,,,480,,1,480,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,のりチーズ,,,,280,,1,280,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,黒チーズ,,,,280,,1,280,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,アスパラ肉巻き,,,,280,,1,280,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,つくね,,,,280,,1,280,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,仙禽【モダン無垢】,,,,950,,1,950,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,忠愛【辛口純米】,,,,850,,1,850,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,豚しそ巻き,,,,220,,2,440,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,うずら肉巻き串,,,,220,,1,220,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
