business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1796514.0,27,164,66537.55555555556,その他
7,98990.0,2,6,49495.0,その他
11,98220.0,9,7,10913.333333333334,その他
12,147900.0,21,13,7042.857142857143,その他
13,15760.0,0,2,inf,その他
14,14060.0,0,1,inf,その他
15,50200.0,0,2,inf,その他
16,110055.0,2,10,55027.5,その他
17,360550.0,21,11,17169.04761904762,その他
18,363400.0,12,20,30283.333333333332,18-20時
19,339580.0,29,24,11709.655172413793,18-20時
20,9000170.0,1145,649,7860.410480349345,20-22時
21,8426535.0,1050,741,8025.271428571428,20-22時
22,3780840.0,276,377,13698.695652173914,22-24時
23,1712918.0,3,159,570972.6666666666,22-24時
24,1964005.0,1,167,1964005.0,24-26時
25,5105655.0,109,362,46840.87155963303,24-26時
26,20293266.0,952,977,21316.45588235294,その他
27,21330287.0,1082,1043,19713.75878003697,その他
28,14064042.0,698,860,20149.057306590257,その他
29,6625550.0,196,474,33803.82653061225,その他
