segment,label,days,avg_sales,std_sales,avg_customers,avg_unit_price
Before_Lunch,3月以前・ランチ,4,1650.0,953.9392014169456,1.5,1187.5
Before_Dinner,3月以前・ディナー,5,330782.4,109175.60176293968,128.8,2520.9167315862983
After_Lunch,4月以降・ランチ,191,26595.041884816754,24204.30347378061,9.429319371727749,2783.107540134885
After_Dinner,4月以降・ディナー,297,180637.53872053872,55429.619364419916,56.5993265993266,3335.1272937057174
