予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20250904 18:56:43,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250904,1855,2025,,,,1,,A4,,,,,,,
20250904 19:54:00,キャンセル,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250904,1950,2120,,,,2,,A5,,,,,,,
20250904 20:45:58,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250904,2045,2215,,,,2,,A3,,,,,,,
20250904 22:18:05,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250919,1810,1940,,,,3,,A5,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20250905 12:09:36,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1215,1345,,,,2,,A1,,,,,,,
20250905 12:14:04,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1210,1340,,,,2,,A3,,,,,,,
20250905 12:23:48,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1935,2105,,,,3,,A3,,,,,,,
20250905 17:00:31,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1700,1900,,,,2,,B4,,,,,,,
20250905 17:24:11,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250918,1805,2035,,,,10,,"A3, A4, A5",,,,,,,
20250905 17:44:10,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1810,1940,,,,3,,P個室,,,,"コース          ：お席のみのご予約
ご要望          ：
利用Vポイント   ：830ポイント
",,,
20250905 18:12:16,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1810,1940,,,,3,,A3,,,,,,,
20250905 18:25:13,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1825,1955,,,,2,,A1,,,,,,,
20250905 18:33:53,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1855,2025,,,,2,,B1,,,,,,,
20250905 18:50:58,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1950,2120,,,,2,,D個室1,,,,,,,
20250905 19:30:51,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250911,1830,2000,お席のみのご予約,,900,2,HPG即,A1,SCT532954,100,,,,,
20250905 20:31:37,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1900,2030,お席のみのご予約,,,2,HPG即,B2,SCT541780,100,,,,,
20250905 20:40:32,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,2040,2210,,,,4,,A1,,,,,,,
20250905 20:49:28,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250913,1800,1930,お席のみのご予約,,,3,HPG即,B1,SCT544773,150,,,,,
20250906 12:57:12,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1305,1435,,,,2,,A3,,,,,,,
20250906 13:07:55,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1305,1435,,,,2,,A1,,,,,,,
20250906 13:22:05,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1910,2040,,,,3,,A1,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20250906 13:35:24,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1900,2030,お席のみのご予約,,,2,HPG即,A4,SCT599356,100,,,,,
20250906 14:29:15,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1425,1555,,,,3,,A3,,,,,,,
20250906 14:47:25,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1445,1615,,,,3,,B4,,,,,,,
20250906 14:51:57,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1900,2030,,,,4,,B1,,,,萌,,,
20250906 15:09:32,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1505,1635,,,,2,,B3,,,,,,,
20250906 15:32:40,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1530,1700,,,,2,,A1,,,,,,,
20250906 15:56:06,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1845,2015,お席のみのご予約,,,7,HPG即,"B3, B4",SCT614036,350,,,,,
20250906 15:59:43,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1845,2015,,,,2,,D個室1,,,,,,,
20250906 16:32:05,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1200,1330,お席のみのご予約,,,3,HPG即,A3,SCT618613,0,,,,,
20250906 16:56:29,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,2010,2140,,,,3,,D個室1,,,,,,,
20250906 17:15:01,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1715,1900,,,,3,,A1,,,,,,,
20250906 17:27:30,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1725,1855,,,,2,,A3,,,,,,,
20250906 18:00:15,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1800,1930,,,,2,,D個室1,,,,,,,
20250906 18:02:55,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1800,1930,,,,2,,D個室2,,,,,,,
20250906 18:46:45,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250911,1700,1830,お席のみのご予約,,,5,HPG即,"A3, A4",SCT639856,750,,,,,
20250906 18:47:20,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1910,2040,,,,3,,A5,,,,,,,
20250907 09:14:46,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1150,1320,お席のみのご予約,,,3,HPG即,A3,SCT680215,30,,,,,
20250907 10:46:14,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1230,1400,お席のみのご予約,,,2,HPDS即,A1,SCT685513,,,,,,
