日付,コース種別,順位,数量,コースID,コース名,金額
2026/02,食べログネット予約,1,22,-,席のみ,-
2026/02,食べログネット予約,2,12,274571054,【各種120分飲み放題付】チーズダッカルビスタンダードコース◆チーズダッカルビや韓国のり、チヂミ、キンパなどを楽しむ！宴会に◎,4378
