日付,コース種別,順位,数量,コースID,コース名,金額
2026/03,食べログネット予約,1,17,-,席のみ,-
2026/03,食べログネット予約,2,12,274571048,【ハイボール、レモンサワー120分飲み放題付】チーズダッカルビライトコース◆チーズダッカルビやキムチを楽しむお値打ちなプラン,3630
2026/03,食べログネット予約,3,7,274571029,【各種120分飲み放題付】チュクミサムギョプサルスタンダードコース◆チュクミサムギョプサルや韓国のり、チヂミ、キンパなどを楽しむ,4950
