日付,コース種別,順位,数量,コースID,コース名,金額
2025/08,食べログネット予約,1,43,-,席のみ,-
2025/08,食べログネット予約,2,5,274571027,【ハイボール、レモンサワー120分飲み放題付】チュクミサムギョプサルライトコース◆チュクミサムギョプサルやチヂミ、キンパを楽しめるお値打ちなプラン,4180
2025/08,食べログネット予約,3,4,274571048,【ハイボール、レモンサワー120分飲み放題付】チーズダッカルビライトコース◆チーズダッカルビやキムチを楽しむお値打ちなプラン,3630
