日付,コース種別,順位,数量,コースID,コース名,金額
2025/12,食べログネット予約,1,38,-,席のみ,-
2025/12,食べログネット予約,2,11,274571029,【各種120分飲み放題付】チュクミサムギョプサルスタンダードコース◆チュクミサムギョプサルや韓国のり、チヂミ、キンパなどを楽しむ,4950
2025/12,食べログネット予約,3,9,274571085,【各種120分飲み放題付】生サムギョプサルペゴパヨコース◆自家製キムチ盛りやサムギョプサルを楽しむ,5500
2025/12,食べログネット予約,4,8,274571054,【各種120分飲み放題付】チーズダッカルビスタンダードコース◆チーズダッカルビや韓国のり、チヂミ、キンパなどを楽しむ！宴会に◎,4378
2025/12,食べログネット予約,5,8,274571027,【ハイボール、レモンサワー120分飲み放題付】チュクミサムギョプサルライトコース◆チュクミサムギョプサルやチヂミ、キンパを楽しめるお値打ちなプラン,4180
