年,月,営業日数,総客数,営業日当たり客数
2025,3,5,650,130.0
2025,4,30,2449,81.63333333333334
2025,5,31,1917,61.83870967741935
2025,6,30,2018,67.26666666666667
2025,7,31,2002,64.58064516129032
2025,8,31,1980,63.87096774193548
2025,9,30,1796,59.86666666666667
2025,10,31,1739,56.096774193548384
2025,11,30,1677,55.9
2025,12,30,1702,56.733333333333334
2026,1,24,1331,55.458333333333336
