rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,ウルフクレイグ　14年,5600.0,2,1.2,19.58
2,アラン ポートカスク,3200.0,2,0.68,11.19
3,ボウモア12年,3200.0,2,0.68,11.19
4,マッカランシェリーカスク12年,3000.0,1,0.64,10.49
5,スプリングバンク 10年,1800.0,1,0.38,6.29
6,シングルトン15年,1700.0,1,0.36,5.94
7,ハイランドパーク12年,1700.0,1,0.36,5.94
8,ラフロイグ10年,1700.0,1,0.36,5.94
9,アードベック 10年,1600.0,1,0.34,5.59
10,ジョニーウォーカー ブラックルビー,1500.0,1,0.32,5.24
