rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,禁断パスタ,12600.0,8,2.69,44.06
2,ラザニア,8000.0,6,1.71,27.97
3,マルゲリータ,5400.0,4,1.15,18.88
4,ボロネーゼ,1600.0,1,0.34,5.59
5,本日のパスタ,1000.0,1,0.21,3.5
