rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,ハーパー,1000.0,1,0.21,3.5
2,ヘンリーマッケナ,1200.0,1,0.26,4.2
3,タリスカー10年,1400.0,1,0.3,4.9
4,ジョニーウォーカー ブラックルビー,1500.0,1,0.32,5.24
5,アードベック 10年,1600.0,1,0.34,5.59
6,シングルトン15年,1700.0,1,0.36,5.94
7,ハイランドパーク12年,1700.0,1,0.36,5.94
8,ラフロイグ10年,1700.0,1,0.36,5.94
9,スプリングバンク 10年,1800.0,1,0.38,6.29
10,マッカランシェリーカスク12年,3000.0,1,0.64,10.49
