rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,いぶりがっこ,600.0,2,0.13,1.37
2,鴨のスモーク,800.0,1,0.17,1.83
3,パプリカ詰めオリーブ,1000.0,1,0.21,2.28
4,パテドカンパーニュ,2000.0,2,0.43,4.57
5,ビーフジャーキー,2000.0,2,0.43,4.57
6,ドライフルーツ,3000.0,3,0.64,6.85
7,バーニャカウダ,3000.0,3,0.64,6.85
8,牡蠣のレモンマリネ,3000.0,3,0.64,6.85
9,MIXローストナッツ,5600.0,7,1.2,12.79
10,生チョコレート,6000.0,6,1.28,13.7
