rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,ゴールデンタイムフィズ,6800.0,4,1.45,22.37
2,セイロンバックスフィズ,6000.0,4,1.28,19.74
3,Cafe Oaxaca,4800.0,3,1.02,15.79
4,Espresso Martini,3600.0,2,0.77,11.84
5,Tommy's Verde Margarita,3600.0,3,0.77,11.84
6,ハーバルウォッカトニック,3600.0,2,0.77,11.84
7,Arrow Head,2000.0,2,0.43,6.58
