rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,タンカレー,3600.0,3,0.77,41.38
2,バレルエイジドジン,1800.0,1,0.38,20.69
3,ロードオブバーベス,1800.0,1,0.38,20.69
4,ボイジン,1500.0,1,0.32,17.24
