rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,"サングリア白　1,800円",10800.0,6,2.31,30.17
2,"サングリア赤　1,800円",9000.0,5,1.92,25.14
3,パナメラ・シャルドネ,4800.0,3,1.02,13.41
4,デバルド・ビアンコ,3600.0,3,0.77,10.06
5,ローター・トラウベンモスト,3600.0,3,0.77,10.06
6,デバルド・ロッソ,2400.0,2,0.51,6.7
7,パナメラ・カルベネ・ソーヴィニョン,1600.0,1,0.34,4.47
