rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,ウイスキーボトル,12000.0,1,2.56,53.33
2,ハウスハイボール,6500.0,5,1.39,28.89
3,プレミアムハウスハイボール,4000.0,2,0.85,17.78
