rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,テバルド・ロッソ,6500.0,1,1.39,15.59
2,パナメラ カベルネ・ソーヴィニョン,17600.0,2,3.76,42.21
3,パナメラ シャルドネ,17600.0,2,3.76,42.21
