rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,チーズ盛り合わせ,8800.0,4,1.88,20.09
2,生ハム盛り,8000.0,5,1.71,18.26
3,生チョコレート,6000.0,6,1.28,13.7
4,MIXローストナッツ,5600.0,7,1.2,12.79
5,ドライフルーツ,3000.0,3,0.64,6.85
6,バーニャカウダ,3000.0,3,0.64,6.85
7,牡蠣のレモンマリネ,3000.0,3,0.64,6.85
8,パテドカンパーニュ,2000.0,2,0.43,4.57
9,ビーフジャーキー,2000.0,2,0.43,4.57
10,パプリカ詰めオリーブ,1000.0,1,0.21,2.28
