rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,山崎12年,3500.0,1,0.75,33.33
2,白州 12年,3300.0,1,0.7,31.43
3,嘉之助,2000.0,1,0.43,19.05
4,竹鶴,1700.0,1,0.36,16.19
