rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,黒板メニュー　肉料理,8300.0,3,1.77,51.55
2,黒板メニュー　サラダ,2000.0,1,0.43,12.42
3,黒板メニュー　パスタ,2000.0,1,0.43,12.42
4,黒板メニュー　魚料理,2000.0,1,0.43,12.42
5,黒板メニュー　その他,1800.0,1,0.38,11.18
