rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,山葵と梨のスマッシュ,16100.0,8,3.44,28.15
2,本わさびジンソニック,14400.0,9,3.07,25.17
3,焙じ茶ジンソーダ,9800.0,7,2.09,17.13
4,Niu Japonica,6400.0,4,1.37,11.19
5,Japanese High Tea,5400.0,4,1.15,9.44
6,Hojicha Negroni,5100.0,4,1.09,8.92
